MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration
4.59685048581702,1.0,118,118,628.5437007281312,203.584011807431,132.63708249887145,4.59685048581702,0,132.63708249887145,203.584011807431,1.0,203.584011807431,203.584011807431,57394,628.5437007281312,0
-15.960940204800085,1.0,127,127,629.713193628612,242.74648056990878,141.4791418155663,-15.960940204800085,1,141.4791418155663,242.74648056990878,1.0,242.74648056990878,242.74648056990878,65158,629.713193628612,1
16.813573130444787,1.0,150,150,608.8881443033457,241.00233409031608,142.14669544144198,16.813573130444787,2,142.14669544144198,241.00233409031605,1.0,241.00233409031605,241.00233409031608,73677,608.8881443033457,2
-21.975870876033202,1.0,155,155,493.36903370182387,265.502221446519,103.8926491854619,-21.975870876033202,3,103.8926491854619,265.50222144651906,1.0,265.50222144651906,265.502221446519,81753,493.36903370182387,3
-1.9335766107285752,1.0,164,164,752.7584239305081,218.26704791132138,141.24686580097264,-1.9335766107285752,4,141.24686580097264,218.26704791132138,1.0,218.26704791132138,218.26704791132138,89468,752.7584239305081,4
-77.0063086895104,1.0,254,254,358.1976831735922,11.091334216677751,75.34436389332998,-77.0063086895104,5,75.34436389332998,11.091334216677758,1.0,11.091334216677758,11.091334216677751,97158,358.1976831735922,5
-69.24397671554212,1.0,242,242,578.505416438177,83.23594513842956,108.94920418700725,-69.24397671554212,6,108.94920418700725,83.23594513842957,1.0,83.23594513842957,83.23594513842956,104948,578.505416438177,6
-143.95245118596984,1.0,317,317,559.5773271864095,20.517309361138626,66.45643627603438,-143.95245118596984,7,66.45643627603438,20.517309361138626,1.0,20.517309361138626,20.517309361138626,112583,559.5773271864095,7
-158.8337132495033,1.0,239,239,379.2303510697445,58.29710883388718,106.52930311916957,-158.8337132495033,8,106.52930311916957,58.29710883388719,1.0,58.29710883388719,58.29710883388718,119996,379.2303510697445,8
-99.31562843520015,1.0,201,201,477.3815569367764,125.5013842790358,139.59666071338708,-99.31562843520015,9,139.59666071338708,125.5013842790358,1.0,125.5013842790358,125.5013842790358,128014,477.3815569367764,9
-37.36940807052868,1.0,146,146,549.3247895586774,192.38930545812514,157.78745685829384,-37.36940807052868,10,157.78745685829384,192.38930545812514,1.0,192.38930545812514,192.38930545812514,135618,549.3247895586774,10
-129.46837659531488,1.0,170,170,540.7207426716994,154.513527445524,155.0720440093055,-129.46837659531488,11,155.0720440093055,154.513527445524,1.0,154.513527445524,154.513527445524,143607,540.7207426716994,11
-72.95900522982491,1.0,205,205,444.51127132240856,137.06820820670592,118.51716738088464,-72.95900522982491,12,118.51716738088464,137.06820820670592,1.0,137.06820820670592,137.06820820670592,151408,444.51127132240856,12
-18.744484441293526,1.0,250,250,476.38762162644264,177.8751968428589,72.145349874106,-18.744484441293526,13,72.145349874106,177.8751968428589,1.0,177.8751968428589,177.8751968428589,158966,476.38762162644264,13
-1.3373287813655967,1.0,231,231,373.246305208895,178.17801513119358,83.89553419040453,-1.3373287813655967,14,83.89553419040453,178.17801513119352,1.0,178.17801513119352,178.17801513119358,166817,373.246305208895,14
-9.0153674669786,1.0,228,228,563.6763924957663,151.50446545391299,107.78015679999729,-9.0153674669786,15,107.78015679999729,151.50446545391299,1.0,151.50446545391299,151.50446545391299,174401,563.6763924957663,15
-33.35339300396981,1.0,213,213,500.91990986428857,212.4851234767099,99.09039260734342,-33.35339300396981,16,99.09039260734342,212.48512347670987,1.0,212.48512347670987,212.4851234767099,182198,500.91990986428857,16
-142.46659510890734,1.0,128,128,784.5596421996521,312.7242522264952,166.34388568241297,-142.46659510890734,17,166.34388568241297,312.72425222649525,1.0,312.72425222649525,312.7242522264952,189742,784.5596421996521,17
-236.5376271716427,1.0,132,132,973.5045845600218,285.4721541078754,170.4219474786812,-236.5376271716427,18,170.4219474786812,285.4721541078754,1.0,285.4721541078754,285.4721541078754,198103,973.5045845600218,18
-115.88106096785636,1.0,192,192,847.588105177658,193.94557523367249,129.66399654873362,-115.88106096785636,19,129.66399654873362,193.94557523367249,1.0,193.94557523367249,193.94557523367249,205757,847.588105177658,19
-136.69201918531,1.0,169,169,681.4758404839026,204.79139515750504,159.90443420999716,-136.69201918531,20,159.90443420999716,204.79139515750504,1.0,204.79139515750504,204.79139515750504,213350,681.4758404839026,20
-109.12687869352071,1.0,177,177,855.5794983619281,184.760096463588,174.01756632716277,-109.12687869352071,21,174.01756632716277,184.760096463588,1.0,184.760096463588,184.760096463588,221374,855.5794983619281,21
-78.0980372396622,0.9932885906040269,149,149,1331.37533003417,301.1375233441221,199.40383722488747,-78.0980372396622,22,199.40383722488747,301.1375233441221,0.9932885906040269,301.1375233441221,301.1375233441221,229333,1331.37533003417,22
-45.8846561776702,1.0,143,143,1170.7194807199082,309.7045775228935,203.07569721628826,-45.8846561776702,23,203.07569721628826,309.70457752289354,1.0,309.70457752289354,309.7045775228935,237302,1170.7194807199082,23
-21.06925083497273,1.0,162,162,908.1815660565716,329.20267891051213,150.7072737811064,-21.06925083497273,24,150.7072737811064,329.20267891051213,1.0,329.20267891051213,329.20267891051213,245312,908.1815660565716,24
-27.164000122142088,1.0,160,160,812.2830408675624,304.2110113950174,157.1095452980883,-27.164000122142088,25,157.1095452980883,304.2110113950174,1.0,304.2110113950174,304.2110113950174,253158,812.2830408675624,25
13.713741630780653,1.0,161,161,718.771675437829,320.88091658236243,143.19466147118013,13.713741630780653,26,143.19466147118013,320.88091658236243,1.0,320.88091658236243,320.88091658236243,261330,718.771675437829,26
-27.873966538060667,1.0,166,166,870.0774895606756,328.3536007745858,161.72419353349258,-27.873966538060667,27,161.72419353349258,328.3536007745858,1.0,328.3536007745858,328.3536007745858,269297,870.0774895606756,27
15.629942377442912,1.0,178,178,861.9056147546837,302.0287470057899,154.57981773454426,15.629942377442912,28,154.57981773454426,302.02874700578997,1.0,302.02874700578997,302.0287470057899,277006,861.9056147546837,28
5.617382506943117,1.0,188,188,579.271993982005,273.909391737061,127.88959640622848,5.617382506943117,29,127.88959640622848,273.90939173706096,1.0,273.90939173706096,273.909391737061,284766,579.271993982005,29
79.00008103525623,1.0,178,178,995.5305234625671,307.11987204064604,160.79932697923277,79.00008103525623,30,160.79932697923277,307.11987204064604,1.0,307.11987204064604,307.11987204064604,292659,995.5305234625671,30
92.78459924918396,1.0,174,174,929.2653921166047,299.79070357418675,156.51714287325683,92.78459924918396,31,156.51714287325683,299.7907035741867,1.0,299.7907035741867,299.79070357418675,300645,929.2653921166047,31
13.818648808510908,1.0,197,197,803.9436071857892,241.0479982012885,147.01139260708663,13.818648808510908,32,147.01139260708663,241.0479982012885,1.0,241.0479982012885,241.0479982012885,308276,803.9436071857892,32
5.539937436912422,1.0,183,183,694.4302703848441,214.47045745697525,108.15174453873666,5.539937436912422,33,108.15174453873666,214.47045745697525,1.0,214.47045745697525,214.47045745697525,316073,694.4302703848441,33
1.4646136455600114,1.0,211,211,464.2911554758901,188.45471895853524,87.63258306060943,1.4646136455600114,34,87.63258306060943,188.4547189585352,1.0,188.4547189585352,188.45471895853524,324106,464.2911554758901,34
-19.35816174039966,1.0,201,201,607.3062610989953,216.35660473545732,104.84898275039745,-19.35816174039966,35,104.84898275039745,216.35660473545732,1.0,216.35660473545732,216.35660473545732,332078,607.3062610989953,35
7.801028432669063,1.0,180,180,625.6227092926734,269.8205732095558,123.44435038608388,7.801028432669063,36,123.44435038608388,269.8205732095558,1.0,269.8205732095558,269.8205732095558,339886,625.6227092926734,36
1.0014344180925219,1.0,165,165,735.5194835116952,300.4971589892626,134.92145617916225,1.0014344180925219,37,134.92145617916225,300.4971589892626,1.0,300.4971589892626,300.4971589892626,347744,735.5194835116952,37
6.916835245187194,1.0,182,182,714.2126923416963,283.1998847988784,137.43559247160073,6.916835245187194,38,137.43559247160073,283.1998847988784,1.0,283.1998847988784,283.1998847988784,355597,714.2126923416963,38
