MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn
-248.40663773997548,0.0,32.2703014116861,-198.306602048058,-198.306602048058,0,0.0,-134.19429531923313,0,32.2703014116861,-198.306602048058,-134.19429531923313,25,25,-198.306602048058,60000,-248.40663773997548
-157.17120842591618,0.0,31.4845209857853,-103.0052605429826,-103.00526054298258,1,0.0,-36.57214438190155,1,31.4845209857853,-103.0052605429826,-36.57214438190155,25,25,-103.00526054298258,70000,-157.17120842591618
-113.84469196087686,0.0,32.310772383579966,-40.05174870112654,-40.051748701126556,2,0.0,9.830264692217368,2,32.310772383579966,-40.05174870112654,9.830264692217368,25,25,-40.051748701126556,80000,-113.84469196087686
5.562463852654369,0.0,41.905117724854335,46.80684889910829,46.80684889910831,3,0.0,184.05462734815634,3,41.905117724854335,46.80684889910829,184.05462734815634,25,25,46.80684889910831,90000,5.562463852654369
2.829607804969929,0.0,71.94328482806837,129.4405229681202,129.44052296812018,4,0.0,283.91333415262835,4,71.94328482806837,129.4405229681202,283.91333415262835,25,25,129.44052296812018,100000,2.829607804969929
34.91748655180937,0.0,71.74686247276469,170.52134419875853,170.52134419875858,5,0.0,389.0791196377178,5,71.74686247276469,170.52134419875853,389.0791196377178,25,25,170.52134419875858,110000,34.91748655180937
82.35105856472268,0.0,204.0882922782757,432.9407042281476,432.94070422814775,6,0.0,803.4360194740973,6,204.0882922782757,432.9407042281476,803.4360194740973,25,25,432.94070422814775,120000,82.35105856472268
209.80815012297924,0.0,262.65542682515064,599.1602699215373,599.160269921537,7,0.0,1075.5450489316809,7,262.65542682515064,599.1602699215373,1075.5450489316809,25,25,599.160269921537,130000,209.80815012297924
192.23694113758455,0.0,414.5608191805648,843.0426393685218,843.0426393685218,8,0.0,1497.8470002053114,8,414.5608191805648,843.0426393685218,1497.8470002053114,25,25,843.0426393685218,140000,192.23694113758455
372.0311305425303,0.0,396.4275554020921,1303.9294501263164,1303.929450126316,9,0.0,1775.9706463016666,9,396.4275554020921,1303.9294501263164,1775.9706463016666,25,25,1303.929450126316,150000,372.0311305425303
57.63843679380864,0.0,555.3001708354673,1575.2972670634924,1575.297267063492,10,0.0,2383.9094736252705,10,555.3001708354673,1575.2972670634924,2383.9094736252705,25,25,1575.297267063492,160000,57.63843679380864
-238.9436279163433,0.0,706.3845559728593,1601.7625672136683,1601.7625672136683,11,0.0,2279.2972344564078,11,706.3845559728593,1601.7625672136683,2279.2972344564078,25,25,1601.7625672136683,170000,-238.9436279163433
325.5468153950994,0.0,749.2580099316067,1883.8785977785258,1883.878597778525,12,0.0,2667.5290627126537,12,749.2580099316067,1883.8785977785258,2667.5290627126537,25,25,1883.878597778525,180000,325.5468153950994
507.78420598374447,0.0,720.415859405033,2336.125547542448,2336.1255475424473,13,0.0,3062.658179330702,13,720.415859405033,2336.125547542448,3062.658179330702,25,25,2336.1255475424473,190000,507.78420598374447
1051.1449837004748,0.0,558.3219041631621,2820.1679600482767,2820.1679600482767,14,0.0,3323.762107178651,14,558.3219041631621,2820.1679600482767,3323.762107178651,25,25,2820.1679600482767,200000,1051.1449837004748
457.922845233468,0.0,870.0646209620307,2616.1303812492224,2616.1303812492224,15,0.0,3449.3523012931146,15,870.0646209620307,2616.1303812492224,3449.3523012931146,25,25,2616.1303812492224,210000,457.922845233468
1191.8196712432084,0.0,457.4344741208336,3257.4820901081107,3257.482090108111,16,0.0,3771.521751691578,16,457.4344741208336,3257.4820901081107,3771.521751691578,25,25,3257.482090108111,220000,1191.8196712432084
15.8154184447295,0.0,740.2001321065599,3205.748902625319,3205.7489026253165,17,0.0,3795.0069069314623,17,740.2001321065599,3205.748902625319,3795.0069069314623,25,25,3205.7489026253165,230000,15.8154184447295
991.0406300310598,0.0,739.6942157963654,3328.4723204129127,3328.4723204129127,18,0.0,3877.682337083662,18,739.6942157963654,3328.4723204129127,3877.682337083662,25,25,3328.4723204129127,240000,991.0406300310598
3247.1587590971467,0.0,198.16327784395142,3587.2186182473756,3587.2186182473756,19,0.0,4084.1512180611267,19,198.16327784395142,3587.2186182473756,4084.1512180611267,25,25,3587.2186182473756,250000,3247.1587590971467
604.2574381353323,0.0,878.1574973498861,3461.823863251744,3461.823863251746,20,0.0,4120.023863425367,20,878.1574973498861,3461.823863251744,4120.023863425367,25,25,3461.823863251746,260000,604.2574381353323
3571.912435920177,0.0,225.59933922020375,3966.199427783876,3966.199427783876,21,0.0,4321.163740498587,21,225.59933922020375,3966.199427783876,4321.163740498587,25,25,3966.199427783876,270000,3571.912435920177
3329.235492056665,0.0,327.6060722310132,4019.6248763813487,4019.6248763813487,22,0.0,4494.096904506887,22,327.6060722310132,4019.6248763813487,4494.096904506887,25,25,4019.6248763813487,280000,3329.235492056665
3535.62005922214,0.0,377.7779434398314,4201.779927128382,4201.779927128385,23,0.0,4774.994830326603,23,377.7779434398314,4201.779927128382,4774.994830326603,25,25,4201.779927128385,290000,3535.62005922214
