MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate
22.795661972727963,158,23051,0,3.0,3.0,1.0,150.0,52.87341772151899,22.795661972727963,52.87341772151899,158,150.0,52.87341772151899,0,52.87341772151899,1.0
29.185103830798067,107,30424,1,10.0,10.0,1.0,193.0,76.8785046728972,29.185103830798067,76.8785046728972,107,193.0,76.8785046728972,1,76.8785046728972,1.0
26.092975779214697,121,37739,2,4.0,4.0,1.0,223.0,69.7603305785124,26.092975779214697,69.7603305785124,121,223.0,69.7603305785124,2,69.7603305785124,1.0
27.24325832140756,110,45226,3,20.0,20.0,1.0,175.0,75.88181818181818,27.24325832140756,75.88181818181818,110,175.0,75.88181818181818,3,75.88181818181818,1.0
111.85864185264214,63,52481,4,29.0,29.0,1.0,669.0,136.15873015873015,111.85864185264214,136.15873015873015,63,669.0,136.15873015873015,4,136.15873015873015,1.0
265.13127943733235,27,62947,5,23.0,23.0,0.9259259259259259,1000.0,333.18518518518516,265.13127943733235,333.18518518518516,27,1000.0,333.18518518518516,5,333.18518518518516,0.9259259259259259
342.2446614397713,13,73305,6,126.0,126.0,0.46153846153846156,1000.0,707.7692307692307,342.2446614397713,707.7692307692307,13,1000.0,707.7692307692307,6,707.7692307692307,0.46153846153846156
331.1009647960708,15,83192,7,121.0,121.0,0.6666666666666666,1000.0,606.5333333333333,331.1009647960708,606.5333333333333,15,1000.0,606.5333333333333,7,606.5333333333333,0.6666666666666666
404.44596672485187,20,93866,8,18.0,18.0,0.7,1000.0,483.4,404.44596672485187,483.4,20,1000.0,483.4,8,483.4,0.7
383.56573552572155,14,104609,9,34.0,34.0,0.5714285714285714,1000.0,602.4285714285714,383.56573552572155,602.4285714285714,14,1000.0,602.4285714285714,9,602.4285714285714,0.5714285714285714
362.0543525034144,12,116903,10,54.0,54.0,0.3333333333333333,1000.0,763.25,362.0543525034144,763.25,12,1000.0,763.25,10,763.25,0.3333333333333333
0.0,8,127658,11,1000.0,1000.0,0.0,1000.0,1000.0,0.0,1000.0,8,1000.0,1000.0,11,1000.0,0.0
296.67057841782264,9,138491,12,56.0,56.0,0.1111111111111111,1000.0,895.1111111111111,296.67057841782264,895.1111111111111,9,1000.0,895.1111111111111,12,895.1111111111111,0.1111111111111111
406.5928522490281,20,148836,13,4.0,4.0,0.7,1000.0,458.55,406.5928522490281,458.55,20,1000.0,458.55,13,458.55,0.7
331.1152117416414,21,158770,14,52.0,52.0,0.8095238095238095,1000.0,462.6190476190476,331.1152117416414,462.6190476190476,21,1000.0,462.6190476190476,14,462.6190476190476,0.8095238095238095
387.8958334398553,25,169000,15,4.0,4.0,0.76,1000.0,363.68,387.8958334398553,363.68,25,1000.0,363.68,15,363.68,0.76
421.10330452228084,17,179264,16,11.0,11.0,0.5882352941176471,1000.0,564.6470588235294,421.10330452228084,564.6470588235294,17,1000.0,564.6470588235294,16,564.6470588235294,0.5882352941176471
273.37937746594685,13,189550,17,271.0,271.0,0.46153846153846156,1000.0,765.8461538461538,273.37937746594685,765.8461538461538,13,1000.0,765.8461538461538,17,765.8461538461538,0.46153846153846156
405.4399338989685,20,199001,18,15.0,15.0,0.65,1000.0,467.4,405.4399338989685,467.4,20,1000.0,467.4,18,467.4,0.65
379.63673426052964,30,210027,19,4.0,4.0,0.8,1000.0,273.5,379.63673426052964,273.5,30,1000.0,273.5,19,273.5,0.8
429.2069784911326,21,220639,20,9.0,9.0,0.6666666666666666,1000.0,398.5238095238095,429.2069784911326,398.5238095238095,21,1000.0,398.5238095238095,20,398.5238095238095,0.6666666666666666
344.18278563948485,24,231659,21,14.0,14.0,0.8333333333333334,1000.0,367.9583333333333,344.18278563948485,367.9583333333333,24,1000.0,367.9583333333333,21,367.9583333333333,0.8333333333333334
70.71067811865476,9,242859,22,775.0,775.0,0.1111111111111111,1000.0,975.0,70.71067811865476,975.0,9,1000.0,975.0,22,975.0,0.1111111111111111
397.68373636178114,12,252537,23,25.0,25.0,0.4166666666666667,1000.0,681.75,397.68373636178114,681.75,12,1000.0,681.75,23,681.75,0.4166666666666667
355.814939917008,19,263749,24,54.0,54.0,0.7894736842105263,1000.0,482.7894736842105,355.814939917008,482.7894736842105,19,1000.0,482.7894736842105,24,482.7894736842105,0.7894736842105263
363.89529417672736,11,273976,25,46.0,46.0,0.2727272727272727,1000.0,786.1818181818181,363.89529417672736,786.1818181818181,11,1000.0,786.1818181818181,25,786.1818181818181,0.2727272727272727
389.37313402442135,16,284666,26,48.0,48.0,0.625,1000.0,610.75,389.37313402442135,610.75,16,1000.0,610.75,26,610.75,0.625
392.7482292737081,13,297867,27,31.0,31.0,0.46153846153846156,1000.0,671.5384615384615,392.7482292737081,671.5384615384615,13,1000.0,671.5384615384615,27,671.5384615384615,0.46153846153846156
332.13835805111233,12,308436,28,35.0,35.0,0.4166666666666667,1000.0,758.3333333333334,332.13835805111233,758.3333333333334,12,1000.0,758.3333333333334,28,758.3333333333334,0.4166666666666667
