MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn
196,354.5943565223701,22,1.0,354.5943565223701,196,449.91379247085496,1.0,224370,59.03397505680409,194.20508125901387,449.91379247085496,194.20508125901387,354.5943565223701,354.5943565223701,22,59.03397505680409
184,384.3864864264756,23,1.0,384.3864864264754,184,426.32890090135874,1.0,231859,28.992688437365,176.96843939830524,426.32890090135874,176.96843939830524,384.3864864264756,384.3864864264754,23,28.992688437365
135,552.6933897048222,24,1.0,552.693389704822,135,1030.3589115283412,1.0,239332,135.7831033124545,261.5377178411934,1030.3589115283412,261.5377178411934,552.6933897048222,552.693389704822,24,135.7831033124545
165,426.26058594342265,25,1.0,426.26058594342277,165,866.0000760080075,1.0,247612,170.76132176410204,81.2126283795151,866.0000760080075,81.2126283795151,426.26058594342265,426.26058594342277,25,170.76132176410204
198,286.1137644969978,26,1.0,286.1137644969978,198,894.1193809513832,1.0,255574,145.28397507529976,112.99759636319669,894.1193809513832,112.99759636319669,286.1137644969978,286.1137644969978,26,145.28397507529976
195,328.980918058934,27,1.0,328.9809180589339,195,787.0396839351148,1.0,263260,141.20695681973206,7.499580706005794,787.0396839351148,7.499580706005794,328.980918058934,328.9809180589339,27,141.20695681973206
794,6.313139355372846,28,1.0,6.313139355372846,794,10.169743578998347,1.0,270984,0.8848423638665843,4.0915889299521675,10.169743578998347,4.0915889299521675,6.313139355372846,6.313139355372846,28,0.8848423638665843
254,153.0906691394732,29,1.0,153.0906691394732,254,895.810891406438,1.0,278289,226.8144055977202,10.297166285722268,895.810891406438,10.297166285722268,153.0906691394732,153.0906691394732,29,226.8144055977202
175,416.931840883463,30,1.0,416.9318408834629,175,762.304858160644,1.0,286394,130.80002738816611,175.41190021762463,762.304858160644,175.41190021762463,416.931840883463,416.9318408834629,30,130.80002738816611
157,517.2896280700944,31,1.0,517.2896280700944,157,878.5143741069044,1.0,294318,165.18004823370035,103.08367002980995,878.5143741069044,103.08367002980995,517.2896280700944,517.2896280700944,31,165.18004823370035
150,524.4420511985282,32,1.0,524.4420511985282,150,871.575461071841,1.0,302564,167.75485136468674,98.37063047380708,871.575461071841,98.37063047380708,524.4420511985282,524.4420511985282,32,167.75485136468674
209,366.3332506895063,33,1.0,366.3332506895063,209,800.9870323728246,1.0,310443,252.4477851831318,79.78979973956683,800.9870323728246,79.78979973956683,366.3332506895063,366.3332506895063,33,252.4477851831318
148,537.6640472282892,34,1.0,537.6640472282892,148,819.1690437867975,1.0,318084,169.02737253841045,32.43143631715451,819.1690437867975,32.43143631715451,537.6640472282892,537.6640472282892,34,169.02737253841045
134,611.9783795106262,35,1.0,611.978379510626,134,742.9786656038414,1.0,326256,84.77598169751626,253.16550613177114,742.9786656038414,253.16550613177114,611.9783795106262,611.978379510626,35,84.77598169751626
161,506.6157070197147,36,1.0,506.6157070197147,161,697.5424275887754,1.0,334314,146.73469849982723,149.23157018697088,697.5424275887754,149.23157018697088,506.6157070197147,506.6157070197147,36,146.73469849982723
138,591.6917667507136,37,1.0,591.6917667507136,138,882.6030496971391,1.0,342110,147.41026973715896,144.62986553048503,882.6030496971391,144.62986553048503,591.6917667507136,591.6917667507136,37,147.41026973715896
125,650.8372961329145,38,1.0,650.8372961329145,125,802.0938117367507,1.0,349977,62.28037635203681,380.39313972700774,802.0938117367507,380.39313972700774,650.8372961329145,650.8372961329145,38,62.28037635203681
