MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn
37,235.15905845734412,113.06999701104041,1.0,170,235.1590584573441,356768,-17.788861934758632,235.15905845734412,113.06999701104041,37,772.3198816223537,772.3198816223537,1.0,-17.788861934758632,170,235.1590584573441
38,250.56543417974797,118.73430324676896,1.0,170,250.565434179748,364551,-50.60278749846993,250.56543417974797,118.73430324676896,38,535.3005915258956,535.3005915258956,1.0,-50.60278749846993,170,250.565434179748
39,259.31943774981244,118.0979319430614,1.0,169,259.31943774981244,372522,3.8206773924650417,259.31943774981244,118.0979319430614,39,626.48333222833,626.48333222833,1.0,3.8206773924650417,169,259.31943774981244
40,235.73261312410668,105.10211264802304,1.0,184,235.73261312410668,380658,3.924721384471631,235.73261312410668,105.10211264802304,40,571.2836022137338,571.2836022137338,1.0,3.924721384471631,184,235.73261312410668
41,245.6646358905399,127.23186853081376,1.0,172,245.6646358905399,388745,-15.69469739682195,245.6646358905399,127.23186853081376,41,594.2762735596303,594.2762735596303,1.0,-15.69469739682195,172,245.6646358905399
42,227.13277307936133,113.15291826812785,1.0,201,227.13277307936133,396592,0.681727743522692,227.13277307936133,113.15291826812785,42,575.0556114849231,575.0556114849231,1.0,0.681727743522692,201,227.13277307936133
43,255.2660493042077,122.25721501047958,1.0,184,255.2660493042077,404344,4.794127986562403,255.2660493042077,122.25721501047958,43,671.7110688654759,671.7110688654759,1.0,4.794127986562403,184,255.2660493042077
44,229.2564489812822,109.02310714416772,1.0,186,229.2564489812822,412479,-0.4795385090635389,229.2564489812822,109.02310714416772,44,559.2712545185973,559.2712545185973,1.0,-0.4795385090635389,186,229.2564489812822
45,245.82194850878093,99.84978976731406,1.0,192,245.8219485087809,420062,7.466679321621862,245.82194850878093,99.84978976731406,45,550.5640561949008,550.5640561949008,1.0,7.466679321621862,192,245.8219485087809
46,231.73084301651718,112.52474626553955,1.0,181,231.73084301651718,428043,1.2454143465622765,231.73084301651718,112.52474626553955,46,590.6328255241417,590.6328255241417,1.0,1.2454143465622765,181,231.73084301651718
47,230.62100484556913,104.83425252241396,1.0,195,230.62100484556913,436240,65.80994067227934,230.62100484556913,104.83425252241396,47,612.9530530876577,612.9530530876577,1.0,65.80994067227934,195,230.62100484556913
48,244.34213248726118,112.71965901458958,1.0,195,244.34213248726124,444313,3.557488538287029,244.34213248726118,112.71965901458958,48,591.3833475353048,591.3833475353048,1.0,3.557488538287029,195,244.34213248726124
49,255.30776624717623,117.5090804308272,1.0,190,255.30776624717623,452166,18.889629860426698,255.30776624717623,117.5090804308272,49,697.0390177842444,697.0390177842444,1.0,18.889629860426698,190,255.30776624717623
