MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/MaxReturn
161,27,67.64240230897971,67.64240230897971,462.39146642526924,274.563239484077,274.563239484077,110.14443898646762,1.0,110.14443898646762,27,274.563239484077,161,274.563239484077,1.0,275550,462.39146642526924
153,28,89.61674370215935,89.61674370215935,548.0965777272999,273.8375797387767,273.8375797387767,-23.23175393182857,1.0,-23.23175393182857,28,273.8375797387767,153,273.8375797387767,1.0,283557,548.0965777272999
156,29,87.12760142066284,87.12760142066284,538.2259541405429,295.05371272519875,295.05371272519875,18.46711106242092,1.0,18.46711106242092,29,295.05371272519875,156,295.05371272519875,1.0,291515,538.2259541405429
144,30,92.47126059574535,92.47126059574535,532.4912005842781,297.461152916115,297.461152916115,52.46189158111753,1.0,52.46189158111753,30,297.461152916115,144,297.461152916115,1.0,299643,532.4912005842781
146,31,102.50479129975409,102.50479129975409,524.0499372605082,286.47520569516047,286.47520569516047,-49.578860663626244,1.0,-49.578860663626244,31,286.47520569516047,146,286.47520569516047,1.0,307478,524.0499372605082
129,32,124.8892687640776,124.8892687640776,563.2307654422441,274.69617939992787,274.696179399928,-47.366131951244114,1.0,-47.366131951244114,32,274.696179399928,129,274.69617939992787,1.0,314961,563.2307654422441
119,33,125.29399923630889,125.29399923630889,560.0487656576638,263.01953922329324,263.0195392232933,8.820878784567569,1.0,8.820878784567569,33,263.0195392232933,119,263.01953922329324,1.0,323150,560.0487656576638
123,34,121.0689658451829,121.0689658451829,577.5945278981127,308.54469976542475,308.54469976542475,-25.099334324850624,1.0,-25.099334324850624,34,308.54469976542475,123,308.54469976542475,1.0,331545,577.5945278981127
128,35,136.97432461955682,136.97432461955682,611.6782195676719,275.6804844252467,275.6804844252467,-185.69274049478986,1.0,-185.69274049478986,35,275.6804844252467,128,275.6804844252467,1.0,339952,611.6782195676719
133,36,106.02341745001075,106.02341745001075,631.3180060455868,321.32702949225944,321.32702949225944,-25.747848467529085,1.0,-25.747848467529085,36,321.32702949225944,133,321.32702949225944,1.0,348427,631.3180060455868
138,37,88.76715567120509,88.76715567120509,648.0386053675966,338.1524982246064,338.1524982246064,20.02332943216347,1.0,20.02332943216347,37,338.1524982246064,138,338.1524982246064,1.0,357419,648.0386053675966
128,38,96.9047233482991,96.9047233482991,678.8719349295859,352.71993801196913,352.71993801196913,23.53642558967601,1.0,23.53642558967601,38,352.71993801196913,128,352.71993801196913,1.0,365227,678.8719349295859
124,39,127.21815237014071,127.21815237014071,954.1840825648128,367.6270451835348,367.6270451835348,9.375455487344432,1.0,9.375455487344432,39,367.6270451835348,124,367.6270451835348,1.0,373142,954.1840825648128
127,40,127.64270783063279,127.64270783063279,659.2508793916918,318.22474869560716,318.2247486956072,13.344923169466265,1.0,13.344923169466265,40,318.2247486956072,127,318.22474869560716,1.0,381473,659.2508793916918
122,41,144.08315623913774,144.08315623913774,794.491326368043,323.49335234790277,323.49335234790277,-71.6716090265303,1.0,-71.6716090265303,41,323.49335234790277,122,323.49335234790277,1.0,389636,794.491326368043
133,42,144.05412884294762,144.05412884294762,733.5562838071323,296.23942997379527,296.2394299737952,-64.69594641929478,1.0,-64.69594641929478,42,296.2394299737952,133,296.23942997379527,1.0,398376,733.5562838071323
137,43,165.6568508066146,165.6568508066146,1022.3456087977635,311.1941196722712,311.1941196722712,-20.832308415566374,1.0,-20.832308415566374,43,311.1941196722712,137,311.1941196722712,1.0,406658,1022.3456087977635
146,44,140.56247068051314,140.56247068051314,724.3176254761256,243.70857216679394,243.70857216679394,13.847891138500412,1.0,13.847891138500412,44,243.70857216679394,146,243.70857216679394,1.0,414701,724.3176254761256
166,45,154.71357303611612,154.71357303611612,729.3571920395282,253.4998176946634,253.49981769466348,19.923332591362335,1.0,19.923332591362335,45,253.49981769466348,166,253.4998176946634,1.0,422758,729.3571920395282
183,46,90.83607447040409,90.83607447040409,641.4634007604099,185.79481705911817,185.79481705911817,15.894905493968414,1.0,15.894905493968414,46,185.79481705911817,183,185.79481705911817,1.0,430811,641.4634007604099
141,47,167.2832704671245,167.2832704671245,1561.5580367347245,249.42402320353995,249.42402320354,-62.390266061375584,1.0,-62.390266061375584,47,249.42402320354,141,249.42402320353995,1.0,438590,1561.5580367347245
149,48,190.88271767403333,190.88271767403333,1127.486092650787,298.624750362004,298.624750362004,25.908993420677696,1.0,25.908993420677696,48,298.624750362004,149,298.624750362004,1.0,446448,1127.486092650787
110,49,205.94251816212815,205.94251816212815,1148.3526272984855,474.45677148544763,474.4567714854477,58.463184895703094,1.0,58.463184895703094,49,474.4567714854477,110,474.45677148544763,1.0,454512,1148.3526272984855
133,50,205.7416824507063,205.7416824507063,1058.4945653656773,399.8508357593264,399.8508357593264,18.10718459746311,1.0,18.10718459746311,50,399.8508357593264,133,399.8508357593264,1.0,462422,1058.4945653656773
140,51,153.4385089482366,153.4385089482366,853.3472890564393,386.3431564211379,386.3431564211379,10.926442649053552,1.0,10.926442649053552,51,386.3431564211379,140,386.3431564211379,1.0,470574,853.3472890564393
159,52,136.92855732470989,136.92855732470989,923.9688486747735,333.30404864369933,333.3040486436993,-33.89937870748146,0.9937106918238994,-33.89937870748146,52,333.3040486436993,159,333.30404864369933,0.9937106918238994,478648,923.9688486747735
175,53,166.1486931311666,166.1486931311666,722.265656849436,314.98848720371205,314.98848720371205,15.627015557038602,1.0,15.627015557038602,53,314.98848720371205,175,314.98848720371205,1.0,486468,722.265656849436
167,54,146.34200386451465,146.34200386451465,641.3965047983278,304.676243557458,304.67624355745806,5.502632231679186,1.0,5.502632231679186,54,304.67624355745806,167,304.676243557458,1.0,494635,641.3965047983278
