MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/NumEpisodes
-78.20544966033171,-333.3783698841524,0,0.0,52.98526185496234,-205.33902150968825,-78.20544966033171,-333.3783698841524,25,0.0,-205.33902150968822,-205.33902150968822,60000,0,-205.33902150968825,52.98526185496234,25
-106.86765331115052,-339.0510822621909,1,0.0,59.64137148219951,-248.83779657165792,-106.86765331115052,-339.0510822621909,25,0.0,-248.8377965716579,-248.8377965716579,70000,1,-248.83779657165792,59.64137148219951,25
-89.59108027802591,-239.86922829103833,2,0.0,38.252736669280544,-170.2017343660443,-89.59108027802591,-239.86922829103833,25,0.0,-170.2017343660444,-170.2017343660444,80000,2,-170.2017343660443,38.252736669280544,25
152.78725949985352,-241.35913897062264,3,0.0,88.32790504740473,-100.91246945086303,152.78725949985352,-241.35913897062264,25,0.0,-100.91246945086314,-100.91246945086314,90000,3,-100.91246945086303,88.32790504740473,25
794.2668529389707,-198.07468316885164,4,0.0,290.66008286668017,165.37049059295947,794.2668529389707,-198.07468316885164,25,0.0,165.37049059295947,165.37049059295947,100000,4,165.37049059295947,290.66008286668017,25
2320.3562939473277,-309.7380588707383,5,0.0,877.524579148625,1160.925125111672,2320.3562939473277,-309.7380588707383,25,0.0,1160.9251251116718,1160.9251251116718,110000,5,1160.925125111672,877.524579148625,25
2669.201057952728,983.1606442189801,6,0.0,434.9667376300521,2051.3065284255304,2669.201057952728,983.1606442189801,25,0.0,2051.30652842553,2051.30652842553,120000,6,2051.3065284255304,434.9667376300521,25
2948.2266883701946,134.16665222973833,7,0.0,662.5981370466956,2159.2503343945546,2948.2266883701946,134.16665222973833,25,0.0,2159.250334394554,2159.250334394554,130000,7,2159.2503343945546,662.5981370466956,25
3348.8695004828223,448.81465671993124,8,0.0,563.5888433731661,2566.9917253653257,3348.8695004828223,448.81465671993124,25,0.0,2566.9917253653252,2566.9917253653252,140000,8,2566.9917253653257,563.5888433731661,25
3534.5906844970323,896.767701208804,9,0.0,601.1945004038738,2740.7611846524164,3534.5906844970323,896.767701208804,25,0.0,2740.7611846524146,2740.7611846524146,150000,9,2740.7611846524164,601.1945004038738,25
3582.38417367174,2789.660208862364,10,0.0,217.83862330553112,3194.598915259458,3582.38417367174,2789.660208862364,25,0.0,3194.598915259461,3194.598915259461,160000,10,3194.598915259458,217.83862330553112,25
