MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageReturn
1.0,0,41.911315712164615,645.0795173023697,127,192.77201102628985,135.15336355420976,645.0795173023697,0,135.15336355420976,57235,192.77201102628985,41.911315712164615,192.77201102628985,1.0,127,192.77201102628985
1.0,1,-59.73357749889615,236.67189097762372,260,-23.952251319184953,25.153289636376034,236.67189097762372,1,25.153289636376034,65112,-23.95225131918495,-59.73357749889615,-23.95225131918495,1.0,260,-23.952251319184953
0.96,2,-13.738894334352981,994.2243906764043,100,308.6688726464581,203.38021578932046,994.2243906764043,2,203.38021578932046,72687,308.6688726464581,-13.738894334352981,308.6688726464581,0.96,100,308.6688726464581
0.9867549668874173,3,-0.16219115173907128,820.7151034088184,151,286.4897607832056,85.12248273263366,820.7151034088184,3,85.12248273263366,81213,286.4897607832056,-0.16219115173907128,286.4897607832056,0.9867549668874173,151,286.4897607832056
1.0,4,-2.5937212101037916,572.1875745922493,170,208.13338486162297,106.64780875527129,572.1875745922493,4,106.64780875527129,89476,208.13338486162297,-2.5937212101037916,208.13338486162297,1.0,170,208.13338486162297
0.9939759036144579,5,73.19471311059894,945.4792537005511,166,273.1954501237104,91.81423627291315,945.4792537005511,5,91.81423627291315,97669,273.19545012371043,73.19471311059894,273.19545012371043,0.9939759036144579,166,273.1954501237104
1.0,6,-37.34859735686015,487.83285158016525,218,165.81438558793883,74.57502429552854,487.83285158016525,6,74.57502429552854,105595,165.81438558793874,-37.34859735686015,165.81438558793874,1.0,218,165.81438558793883
1.0,7,-16.15944399216049,431.268330151707,172,257.7299096571223,62.13044720546754,431.268330151707,7,62.13044720546754,113354,257.7299096571223,-16.15944399216049,257.7299096571223,1.0,172,257.7299096571223
1.0,8,0.17311607512556426,400.7385646302214,187,240.00598271743183,67.88708812147071,400.7385646302214,8,67.88708812147071,121656,240.00598271743183,0.17311607512556426,240.00598271743183,1.0,187,240.00598271743183
1.0,9,29.2617121962925,548.0425414899568,202,234.9821305512625,46.99581729010412,548.0425414899568,9,46.99581729010412,129135,234.9821305512625,29.2617121962925,234.9821305512625,1.0,202,234.9821305512625
1.0,10,40.10553487401117,458.89887260701977,179,256.887939779986,55.67395966448384,458.89887260701977,10,55.67395966448384,136890,256.887939779986,40.10553487401117,256.887939779986,1.0,179,256.887939779986
1.0,11,13.906430270726313,453.20813295842265,177,242.59309592355993,94.89414312927406,453.20813295842265,11,94.89414312927406,144392,242.59309592355999,13.906430270726313,242.59309592355999,1.0,177,242.59309592355993
1.0,12,-36.85854965397941,816.2316074118023,171,173.93782761092717,171.40463798024183,816.2316074118023,12,171.40463798024183,152403,173.93782761092717,-36.85854965397941,173.93782761092717,1.0,171,173.93782761092717
1.0,13,-24.080071946180464,607.4828382206293,150,327.3370929175539,130.90977951752723,607.4828382206293,13,130.90977951752723,160132,327.3370929175539,-24.080071946180464,327.3370929175539,1.0,150,327.3370929175539
1.0,14,-42.08911595977833,1320.2845178902992,113,432.44880017432683,275.54033985955056,1320.2845178902992,14,275.54033985955056,168647,432.4488001743268,-42.08911595977833,432.4488001743268,1.0,113,432.44880017432683
1.0,15,34.46195194653558,1196.0906639578873,139,412.3058413698027,180.20885552828352,1196.0906639578873,15,180.20885552828352,177072,412.3058413698027,34.46195194653558,412.3058413698027,1.0,139,412.3058413698027
1.0,16,-49.70476639380689,755.29442395072,162,231.84865681911415,174.8752247399146,755.29442395072,16,174.8752247399146,185229,231.84865681911415,-49.70476639380689,231.84865681911415,1.0,162,231.84865681911415
1.0,17,-70.00141813482277,702.6055348565802,183,151.03106094373314,174.2793669112051,702.6055348565802,17,174.2793669112051,193086,151.03106094373314,-70.00141813482277,151.03106094373314,1.0,183,151.03106094373314
1.0,18,-67.04823225391773,630.4760013490181,176,176.57947142751854,155.02575222242186,630.4760013490181,18,155.02575222242186,200935,176.5794714275185,-67.04823225391773,176.5794714275185,1.0,176,176.57947142751854
1.0,19,-33.64506716479004,769.6916069319241,149,254.92221255960465,171.22109028299414,769.6916069319241,19,171.22109028299414,208882,254.9222125596047,-33.64506716479004,254.9222125596047,1.0,149,254.92221255960465
1.0,20,-38.14267002904765,923.0046925257008,152,278.9813332231769,151.6409778518983,923.0046925257008,20,151.6409778518983,216663,278.9813332231769,-38.14267002904765,278.9813332231769,1.0,152,278.9813332231769
1.0,21,-91.37822870176805,791.7608540752307,144,309.3060309428722,176.23863064858247,791.7608540752307,21,176.23863064858247,225224,309.3060309428722,-91.37822870176805,309.3060309428722,1.0,144,309.3060309428722
1.0,22,-48.02026070949652,879.1501523754505,143,365.82939831954315,173.21099808439476,879.1501523754505,22,173.21099808439476,233525,365.8293983195431,-48.02026070949652,365.8293983195431,1.0,143,365.82939831954315
1.0,23,113.27705815925773,1034.4795672733542,148,372.916925631556,173.24483635200144,1034.4795672733542,23,173.24483635200144,242019,372.91692563155607,113.27705815925773,372.91692563155607,1.0,148,372.916925631556
1.0,24,111.50795558234157,1058.2958315642372,156,369.7038632532723,188.46176593285958,1058.2958315642372,24,188.46176593285958,250030,369.7038632532723,111.50795558234157,369.7038632532723,1.0,156,369.7038632532723
1.0,25,111.47741870178656,1112.282901744897,132,420.868275826395,224.1235934157959,1112.282901744897,25,224.1235934157959,258360,420.868275826395,111.47741870178656,420.868275826395,1.0,132,420.868275826395
1.0,26,-11.339784728339033,1426.7871071688544,131,418.61971386170086,238.68556592561401,1426.7871071688544,26,238.68556592561401,266718,418.61971386170075,-11.339784728339033,418.61971386170075,1.0,131,418.61971386170086
1.0,27,16.07412299443877,1132.3855018417116,144,405.3961184340669,226.15512463918392,1132.3855018417116,27,226.15512463918392,274878,405.3961184340669,16.07412299443877,405.3961184340669,1.0,144,405.3961184340669
1.0,28,-17.756455126797405,943.2023180388755,138,389.62462574837747,207.48327113802245,943.2023180388755,28,207.48327113802245,283290,389.62462574837735,-17.756455126797405,389.62462574837735,1.0,138,389.62462574837747
1.0,29,-14.848731693665913,1004.6091579984461,133,395.44397165617227,210.13935595622314,1004.6091579984461,29,210.13935595622314,291040,395.4439716561724,-14.848731693665913,395.4439716561724,1.0,133,395.44397165617227
1.0,30,-6.884471576983885,966.0439827867147,140,409.47823379869664,199.0512573077681,966.0439827867147,30,199.0512573077681,299000,409.47823379869664,-6.884471576983885,409.47823379869664,1.0,140,409.47823379869664
1.0,31,11.20295238779557,1185.0256896278383,151,379.9843681353944,241.02536856132548,1185.0256896278383,31,241.02536856132548,307646,379.98436813539433,11.20295238779557,379.98436813539433,1.0,151,379.9843681353944
1.0,32,83.04373282543621,1006.2486869844386,152,373.104496285614,230.57937457908582,1006.2486869844386,32,230.57937457908582,316627,373.104496285614,83.04373282543621,373.104496285614,1.0,152,373.104496285614
1.0,33,6.3693520496258955,1098.63460179566,149,367.69796491663703,212.5040576960136,1098.63460179566,33,212.5040576960136,324697,367.69796491663703,6.3693520496258955,367.69796491663703,1.0,149,367.69796491663703
1.0,34,-14.848208978762786,1068.6531414160384,143,426.15689141811964,210.65506334004823,1068.6531414160384,34,210.65506334004823,332792,426.15689141811964,-14.848208978762786,426.15689141811964,1.0,143,426.15689141811964
1.0,35,101.4778181577494,1425.0758063088952,127,474.16760109280216,221.7314484614332,1425.0758063088952,35,221.7314484614332,340500,474.1676010928023,101.4778181577494,474.1676010928023,1.0,127,474.16760109280216
1.0,36,105.15189940773568,1168.7977408365637,140,428.5986416860736,234.6374757716225,1168.7977408365637,36,234.6374757716225,348632,428.5986416860736,105.15189940773568,428.5986416860736,1.0,140,428.5986416860736
1.0,37,-6.1958137541446945,1017.8162200872266,129,449.69065416236833,188.7410819594319,1017.8162200872266,37,188.7410819594319,357045,449.6906541623683,-6.1958137541446945,449.6906541623683,1.0,129,449.69065416236833
1.0,38,-15.520793551021033,1027.2618089103692,132,463.90004860084974,184.29138848459047,1027.2618089103692,38,184.29138848459047,364998,463.90004860084974,-15.520793551021033,463.90004860084974,1.0,132,463.90004860084974
1.0,39,-7.370685740241281,1141.98187826616,135,448.3582900673317,204.22265858452673,1141.98187826616,39,204.22265858452673,372695,448.3582900673317,-7.370685740241281,448.3582900673317,1.0,135,448.3582900673317
1.0,40,-7.558154226301098,1018.8824963312218,133,415.86436713999564,243.89749877555923,1018.8824963312218,40,243.89749877555923,381279,415.86436713999564,-7.558154226301098,415.86436713999564,1.0,133,415.86436713999564
1.0,41,14.134356208925865,1007.7590882262597,132,409.1728535743919,199.49427817934873,1007.7590882262597,41,199.49427817934873,389742,409.1728535743919,14.134356208925865,409.1728535743919,1.0,132,409.1728535743919
1.0,42,52.80726099608348,1521.389759321995,140,424.44866908455566,215.65213225443605,1521.389759321995,42,215.65213225443605,397841,424.4486690845557,52.80726099608348,424.4486690845557,1.0,140,424.44866908455566
1.0,43,24.172979025457124,1645.1044888694298,138,476.8378791223968,273.413635928828,1645.1044888694298,43,273.413635928828,406086,476.8378791223968,24.172979025457124,476.8378791223968,1.0,138,476.8378791223968
