MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/AverageReturn
20.575928182920222,0,148.99218320248568,20.575928182920222,148.99218320248568,0,111.75415023810224,1.0,344,344,183.25997112612774,111.75415023810224,148.99218320248568,57499,183.25997112612774,1.0,148.99218320248568
7.292933890707722,1,178.94496375804258,7.292933890707722,178.94496375804258,1,156.6961002661192,1.0,301,301,204.95425646642914,156.6961002661192,178.94496375804258,64758,204.95425646642914,1.0,178.94496375804258
74.9095532419293,2,246.70777466084184,74.9095532419293,246.70777466084184,2,13.647032253648407,1.0,234,234,360.9394188349494,13.647032253648407,246.70777466084184,72053,360.9394188349494,1.0,246.70777466084184
26.699837663889166,3,284.7186873127797,26.699837663889166,284.71868731277965,3,222.9455296840085,1.0,200,200,361.2914348118095,222.9455296840085,284.7186873127797,79737,361.2914348118095,1.0,284.71868731277965
113.70866088423062,4,239.9439259440001,113.70866088423062,239.9439259440001,4,37.08287374366627,1.0,246,246,503.5075825354393,37.08287374366627,239.9439259440001,87204,503.5075825354393,1.0,239.9439259440001
44.158864320325115,5,311.7494388639218,44.158864320325115,311.74943886392185,5,42.77536975042704,1.0,204,204,431.30470213493857,42.77536975042704,311.7494388639218,94626,431.30470213493857,1.0,311.74943886392185
13.948881480684626,6,292.4326191181179,13.948881480684626,292.4326191181179,6,250.2778761326097,1.0,223,223,323.81991835966085,250.2778761326097,292.4326191181179,102136,323.81991835966085,1.0,292.4326191181179
19.960809644316676,7,284.80942472246875,19.960809644316676,284.80942472246875,7,159.2345611134475,1.0,215,215,320.3511511686516,159.2345611134475,284.80942472246875,109767,320.3511511686516,1.0,284.80942472246875
31.7009456139361,8,269.23578152672405,31.7009456139361,269.23578152672405,8,42.86061253705752,1.0,226,226,340.1184510584708,42.86061253705752,269.23578152672405,117388,340.1184510584708,1.0,269.23578152672405
21.93404391183535,9,255.87850609017707,21.93404391183535,255.87850609017707,9,154.44403695136035,1.0,232,232,314.86046608565556,154.44403695136035,255.87850609017707,124818,314.86046608565556,1.0,255.87850609017707
