MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MaxReturn
281.5504583722865,57211,-7.564434931948431,0,111,162.53918141520032,-7.564434931948431,0.990990990990991,281.55045837228647,281.55045837228647,111,907.2247480894043,0,281.5504583722865,162.53918141520032,0.990990990990991,907.2247480894043
145.3743457176135,66421,-26.380559926954817,1,116,125.37247585621904,-26.380559926954817,1.0,145.3743457176135,145.3743457176135,116,576.5950055470877,1,145.3743457176135,125.37247585621904,1.0,576.5950055470877
173.5323870466589,75238,-17.054590122872977,2,145,151.3539114713879,-17.054590122872977,1.0,173.5323870466589,173.5323870466589,145,778.8820309455916,2,173.5323870466589,151.3539114713879,1.0,778.8820309455916
316.40964418756926,83399,41.19316474017025,3,118,122.77715506956339,41.19316474017025,1.0,316.40964418756926,316.40964418756926,118,931.1201152254754,3,316.40964418756926,122.77715506956339,1.0,931.1201152254754
235.20381303639817,92076,7.056112477069077,4,169,100.68608525216712,7.056112477069077,1.0,235.20381303639812,235.20381303639812,169,558.0145599396494,4,235.20381303639817,100.68608525216712,1.0,558.0145599396494
285.41547807958784,99853,22.02751209100491,5,126,119.06440296181071,22.02751209100491,1.0,285.41547807958784,285.41547807958784,126,677.2601794854892,5,285.41547807958784,119.06440296181071,1.0,677.2601794854892
175.50922739552462,108570,-37.507595507899914,6,149,142.30313749023327,-37.507595507899914,1.0,175.50922739552462,175.50922739552462,149,476.8510153675949,6,175.50922739552462,142.30313749023327,1.0,476.8510153675949
80.2860105035361,116443,-113.70064621942564,7,177,135.87422304220135,-113.70064621942564,1.0,80.2860105035361,80.2860105035361,177,391.21925080485005,7,80.2860105035361,135.87422304220135,1.0,391.21925080485005
157.21047121351532,124914,-81.47826676194605,8,158,135.65087879068446,-81.47826676194605,0.9936708860759493,157.2104712135153,157.2104712135153,158,661.155428289502,8,157.21047121351532,135.65087879068446,0.9936708860759493,661.155428289502
278.1881897190077,132971,-2.5457672204098603,9,121,137.9928876111081,-2.5457672204098603,1.0,278.18818971900765,278.18818971900765,121,709.4516982909225,9,278.1881897190077,137.9928876111081,1.0,709.4516982909225
