MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn
19.968411837697282,45.32967032967033,128.0,3.0,23058,0,19.968411837697282,0,182,45.32967032967033,1.0,45.32967032967033,3.0,182,45.32967032967033,1.0,128.0
42.863205220793,84.42424242424242,281.0,13.0,30229,1,42.863205220793,1,99,84.42424242424242,1.0,84.42424242424242,13.0,99,84.42424242424242,1.0,281.0
19.20912482964472,62.21641791044776,130.0,31.0,37761,2,19.20912482964472,2,134,62.21641791044776,1.0,62.21641791044776,31.0,134,62.21641791044776,1.0,130.0
25.543138183854207,73.21929824561404,165.0,20.0,45233,3,25.543138183854207,3,114,73.21929824561404,1.0,73.21929824561404,20.0,114,73.21929824561404,1.0,165.0
284.66085924122166,239.02777777777777,1000.0,48.0,52672,4,284.66085924122166,4,36,239.02777777777777,0.9166666666666666,239.02777777777777,48.0,36,239.02777777777777,0.9166666666666666,1000.0
124.27225655793009,148.25,784.0,21.0,63474,5,124.27225655793009,5,64,148.25,1.0,148.25,21.0,64,148.25,1.0,784.0
303.6683701424027,195.26190476190476,1000.0,42.0,71036,6,303.6683701424027,6,42,195.26190476190476,0.8809523809523809,195.26190476190476,42.0,42,195.26190476190476,0.8809523809523809,1000.0
384.3007867212299,380.53846153846155,1000.0,5.0,81933,7,384.3007867212299,7,26,380.53846153846155,0.7692307692307693,380.53846153846155,5.0,26,380.53846153846155,0.7692307692307693,1000.0
372.73770715519925,349.3448275862069,1000.0,84.0,90595,8,372.73770715519925,8,29,349.3448275862069,0.8275862068965517,349.3448275862069,84.0,29,349.3448275862069,0.8275862068965517,1000.0
230.338058734928,175.6153846153846,1000.0,10.0,101148,9,230.338058734928,9,52,175.6153846153846,0.9615384615384616,175.6153846153846,10.0,52,175.6153846153846,0.9615384615384616,1000.0
