MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageReturn
187.21885253515546,298.8881916747046,20.31137986872334,324.23347205646894,1.0,231,140883,11,231,324.23347205646894,298.88819167470456,1.0,11,298.8881916747046,20.31137986872334,187.21885253515546,298.88819167470456
248.31613368248372,293.8807511106216,9.365360722975625,316.5032914331505,1.0,226,148255,12,226,316.5032914331505,293.8807511106216,1.0,12,293.8807511106216,9.365360722975625,248.31613368248372,293.8807511106216
195.65664042227388,286.12364302215076,22.90357810893593,334.62549012705847,1.0,239,155800,13,239,334.62549012705847,286.12364302215065,1.0,13,286.12364302215076,22.90357810893593,195.65664042227388,286.12364302215065
242.71755047493303,298.37543355905024,14.805098354191152,346.1869934583092,1.0,227,163448,14,227,346.1869934583092,298.37543355905024,1.0,14,298.37543355905024,14.805098354191152,242.71755047493303,298.37543355905024
142.7444963202652,321.4339741103109,49.51792051646779,589.5654592172366,1.0,220,171171,15,220,589.5654592172366,321.4339741103108,1.0,15,321.4339741103109,49.51792051646779,142.7444963202652,321.4339741103108
139.17776385659147,270.77920203520375,59.01240162277196,430.34068314023,1.0,243,178717,16,243,430.34068314023,270.77920203520375,1.0,16,270.77920203520375,59.01240162277196,139.17776385659147,270.77920203520375
134.48135982831784,324.88782073023884,80.01936445194917,575.5928985257798,1.0,213,186143,17,213,575.5928985257798,324.8878207302389,1.0,17,324.88782073023884,80.01936445194917,134.48135982831784,324.8878207302389
123.06705639126233,221.71506225783665,90.9994220529116,673.7718665975041,1.0,258,193840,18,258,673.7718665975041,221.71506225783665,1.0,18,221.71506225783665,90.9994220529116,123.06705639126233,221.71506225783665
40.867718662090724,317.8781535195921,305.5282727115575,1582.4721344947325,1.0,249,201493,19,249,1582.4721344947325,317.8781535195921,1.0,19,317.8781535195921,305.5282727115575,40.867718662090724,317.8781535195921
102.57547445455191,410.9591758321879,231.27268953450252,1623.2844953187068,1.0,174,208977,20,174,1623.2844953187068,410.9591758321879,1.0,20,410.9591758321879,231.27268953450252,102.57547445455191,410.9591758321879
69.27228466820164,510.14902288890823,217.48323748127265,994.0362288081657,1.0,158,216785,21,158,994.0362288081657,510.1490228889082,1.0,21,510.14902288890823,217.48323748127265,69.27228466820164,510.1490228889082
338.71206353149086,563.3516769203599,88.09075099814366,946.5016333464315,1.0,148,225043,22,148,946.5016333464315,563.3516769203599,1.0,22,563.3516769203599,88.09075099814366,338.71206353149086,563.3516769203599
57.620795023765204,453.3723794635853,156.05469375547915,748.935119480482,1.0,180,233373,23,180,748.935119480482,453.37237946358533,1.0,23,453.3723794635853,156.05469375547915,57.620795023765204,453.37237946358533
322.57674028760437,568.5601020144367,114.49084195543864,763.5890660755023,1.0,151,241374,24,151,763.5890660755023,568.5601020144367,1.0,24,568.5601020144367,114.49084195543864,322.57674028760437,568.5601020144367
283.28332812177564,467.2178180702114,121.11063645095054,861.7812968538855,1.0,174,249331,25,174,861.7812968538855,467.2178180702114,1.0,25,467.2178180702114,121.11063645095054,283.28332812177564,467.2178180702114
244.3952030783782,395.1400590384036,117.44962673542965,1130.595722763215,1.0,177,257195,26,177,1130.595722763215,395.1400590384036,1.0,26,395.1400590384036,117.44962673542965,244.3952030783782,395.1400590384036
318.15401161428264,548.5685233922362,133.24239489228282,1384.5515647638376,1.0,146,264791,27,146,1384.5515647638376,548.5685233922362,1.0,27,548.5685233922362,133.24239489228282,318.15401161428264,548.5685233922362
353.0238034832416,631.0667409530794,106.1699446220925,1026.2618658418385,1.0,136,272911,28,136,1026.2618658418385,631.0667409530794,1.0,28,631.0667409530794,106.1699446220925,353.0238034832416,631.0667409530794
349.62697802674427,594.7562543588298,97.03796489078964,936.3999940572759,1.0,135,281042,29,135,936.3999940572759,594.7562543588297,1.0,29,594.7562543588298,97.03796489078964,349.62697802674427,594.7562543588297
267.6962471994769,507.62577842343916,98.89383679576942,734.0149128890068,1.0,151,289826,30,151,734.0149128890068,507.62577842343916,1.0,30,507.62577842343916,98.89383679576942,267.6962471994769,507.62577842343916
270.7111010171956,619.1104144808036,119.05273537867791,1086.224515552027,1.0,131,297245,31,131,1086.224515552027,619.1104144808036,1.0,31,619.1104144808036,119.05273537867791,270.7111010171956,619.1104144808036
355.7155072551992,650.7883332593856,107.59857305622715,924.7945173143174,1.0,129,305677,32,129,924.7945173143174,650.7883332593856,1.0,32,650.7883332593856,107.59857305622715,355.7155072551992,650.7883332593856
339.1692831141723,576.1430027521509,137.02269072106225,928.3623366249642,1.0,144,313702,33,144,928.3623366249642,576.1430027521508,1.0,33,576.1430027521509,137.02269072106225,339.1692831141723,576.1430027521508
34.53990394840675,547.5168169556463,154.2682500008719,1031.6461696201889,1.0,150,321737,34,150,1031.6461696201889,547.5168169556465,1.0,34,547.5168169556463,154.2682500008719,34.53990394840675,547.5168169556465
37.64072093841641,476.2101656178427,186.9660219320532,940.8730168659131,1.0,168,329668,35,168,940.8730168659131,476.2101656178427,1.0,35,476.2101656178427,186.9660219320532,37.64072093841641,476.2101656178427
53.59681430546635,518.6625604544927,141.25741224811162,889.4245928228023,1.0,156,337625,36,156,889.4245928228023,518.6625604544926,1.0,36,518.6625604544927,141.25741224811162,53.59681430546635,518.6625604544926
34.21457221039889,507.5425063988686,211.7542972254023,921.2514033041641,1.0,159,345792,37,159,921.2514033041641,507.5425063988687,1.0,37,507.5425063988686,211.7542972254023,34.21457221039889,507.5425063988687
12.545477393614005,470.8322369142829,240.44304359981746,1155.601363938021,1.0,165,353729,38,165,1155.601363938021,470.8322369142829,1.0,38,470.8322369142829,240.44304359981746,12.545477393614005,470.8322369142829
37.90020084085583,424.33063881036986,256.1507858773858,1096.4421344496043,1.0,179,361412,39,179,1096.4421344496043,424.33063881036986,1.0,39,424.33063881036986,256.1507858773858,37.90020084085583,424.33063881036986
42.30869238205845,238.1335388356974,179.29551645330676,2085.445788427494,1.0,284,369258,40,284,2085.445788427494,238.13353883569744,1.0,40,238.1335388356974,179.29551645330676,42.30869238205845,238.13353883569744
32.43348324051074,230.42849931278332,199.3280355068841,1156.929442324514,1.0,292,377607,41,292,1156.929442324514,230.42849931278337,1.0,41,230.42849931278332,199.3280355068841,32.43348324051074,230.42849931278337
83.8787736334157,670.4368583257074,192.43961423134752,1374.5608697957123,1.0,128,385910,42,128,1374.5608697957123,670.4368583257074,1.0,42,670.4368583257074,192.43961423134752,83.8787736334157,670.4368583257074
46.64856166045605,906.4743799017607,495.51236949636825,3130.5693517512277,1.0,101,393968,43,101,3130.5693517512277,906.4743799017606,1.0,43,906.4743799017607,495.51236949636825,46.64856166045605,906.4743799017606
170.6037169415643,723.7910571646904,246.2702379991732,1335.1333130320954,1.0,117,401845,44,117,1335.1333130320954,723.7910571646904,1.0,44,723.7910571646904,246.2702379991732,170.6037169415643,723.7910571646904
46.6273874352548,388.2844830454733,297.5656835084496,2189.46818631976,1.0,177,410130,45,177,2189.46818631976,388.2844830454733,1.0,45,388.2844830454733,297.5656835084496,46.6273874352548,388.2844830454733
311.7614110849448,943.1114114630815,555.290984823048,3206.782422364985,0.9791666666666666,96,418248,46,96,3206.782422364985,943.1114114630815,0.9791666666666666,46,943.1114114630815,555.290984823048,311.7614110849448,943.1114114630815
55.22827680821085,426.21432430792316,303.2650362142468,1801.1198033325193,1.0,176,426565,47,176,1801.1198033325193,426.21432430792316,1.0,47,426.21432430792316,303.2650362142468,55.22827680821085,426.21432430792316
72.25445911367083,583.4964729130177,301.01413731567544,2152.6420076132035,1.0,137,434695,48,137,2152.6420076132035,583.4964729130177,1.0,48,583.4964729130177,301.01413731567544,72.25445911367083,583.4964729130177
290.4760968550237,786.9719438319758,264.18361976786,1646.6876710484498,1.0,117,443827,49,117,1646.6876710484498,786.9719438319758,1.0,49,786.9719438319758,264.18361976786,290.4760968550237,786.9719438319758
258.27439164139344,755.0245550659935,247.98059538961695,1784.4352456752881,1.0,117,452785,50,117,1784.4352456752881,755.0245550659935,1.0,50,755.0245550659935,247.98059538961695,258.27439164139344,755.0245550659935
