MetaTest/Average/Iteration,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn
10,10,896.6666666666666,111397,173.0252068983656,12,896.6666666666666,12,896.6666666666666,173.0252068983656,0.3333333333333333,0.3333333333333333,1000.0,896.6666666666666,546.0,1000.0,546.0
11,11,1000.0,122230,0.0,8,1000.0,8,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
12,12,933.8888888888889,133241,126.61792434498402,9,933.8888888888889,9,933.8888888888889,126.61792434498402,0.2222222222222222,0.2222222222222222,1000.0,933.8888888888889,645.0,1000.0,645.0
13,13,766.4545454545455,144257,285.51528016309663,11,766.4545454545455,11,766.4545454545455,285.51528016309663,0.5454545454545454,0.5454545454545454,1000.0,766.4545454545455,217.0,1000.0,217.0
14,14,785.6363636363636,153007,351.1568602432078,11,785.6363636363636,11,785.6363636363636,351.1568602432078,0.2727272727272727,0.2727272727272727,1000.0,785.6363636363636,146.0,1000.0,146.0
15,15,527.25,164932,366.6356331564078,16,527.25,16,527.25,366.6356331564078,0.6875,0.6875,1000.0,527.25,23.0,1000.0,23.0
16,16,650.7142857142857,175766,395.35814298492676,14,650.7142857142857,14,650.7142857142857,395.35814298492676,0.5,0.5,1000.0,650.7142857142857,24.0,1000.0,24.0
17,17,425.45,185197,382.49842810134527,20,425.45,20,425.45,382.49842810134527,0.75,0.75,1000.0,425.45,21.0,1000.0,21.0
18,18,587.5333333333333,196594,356.64639194710617,15,587.5333333333333,15,587.5333333333333,356.64639194710617,0.6,0.6,1000.0,587.5333333333333,115.0,1000.0,115.0
19,19,688.6153846153846,207022,422.04785336800893,13,688.6153846153846,13,688.6153846153846,422.04785336800893,0.38461538461538464,0.38461538461538464,1000.0,688.6153846153846,5.0,1000.0,5.0
20,20,817.0,217890,276.42660267540583,12,817.0,12,817.0,276.42660267540583,0.4166666666666667,0.4166666666666667,1000.0,817.0,210.0,1000.0,210.0
21,21,816.5,228393,240.09133678664875,10,816.5,10,816.5,240.09133678664875,0.4,0.4,1000.0,816.5,409.0,1000.0,409.0
22,22,493.27777777777777,238046,393.946246411523,18,493.27777777777777,18,493.27777777777777,393.946246411523,0.7222222222222222,0.7222222222222222,1000.0,493.27777777777777,26.0,1000.0,26.0
23,23,813.8,248528,294.0961747456094,10,813.8,10,813.8,294.0961747456094,0.3,0.3,1000.0,813.8,207.0,1000.0,207.0
24,24,1000.0,261053,0.0,8,1000.0,8,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
25,25,505.7368421052632,272254,317.7797718224075,19,505.7368421052632,19,505.7368421052632,317.7797718224075,0.8421052631578947,0.8421052631578947,1000.0,505.7368421052632,22.0,1000.0,22.0
26,26,614.0,282526,397.193319849835,15,614.0,15,614.0,397.193319849835,0.5333333333333333,0.5333333333333333,1000.0,614.0,66.0,1000.0,66.0
27,27,1000.0,293031,0.0,8,1000.0,8,1000.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
28,28,897.0,304219,206.32789438173404,10,897.0,10,897.0,206.32789438173404,0.2,0.2,1000.0,897.0,459.0,1000.0,459.0
29,29,801.6363636363636,315142,273.3417018137065,11,801.6363636363636,11,801.6363636363636,273.3417018137065,0.36363636363636365,0.36363636363636365,1000.0,801.6363636363636,333.0,1000.0,333.0
30,30,962.8888888888889,324360,104.9660732961364,9,962.8888888888889,9,962.8888888888889,104.9660732961364,0.1111111111111111,0.1111111111111111,1000.0,962.8888888888889,666.0,1000.0,666.0
31,31,682.6666666666666,334241,347.7339340485609,15,682.6666666666666,15,682.6666666666666,347.7339340485609,0.6,0.6,1000.0,682.6666666666666,89.0,1000.0,89.0
32,32,968.2,345915,78.79187775399188,10,968.2,10,968.2,78.79187775399188,0.2,0.2,1000.0,968.2,737.0,1000.0,737.0
33,33,925.0,356745,212.13203435596427,9,925.0,9,925.0,212.13203435596427,0.1111111111111111,0.1111111111111111,1000.0,925.0,325.0,1000.0,325.0
34,34,830.3636363636364,367455,347.93684712426887,11,830.3636363636364,11,830.3636363636364,347.93684712426887,0.2727272727272727,0.2727272727272727,1000.0,830.3636363636364,83.0,1000.0,83.0
