MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,TotalEnvSteps
17.10850250550488,42.769633507853406,3.0,191,17.10850250550488,42.769633507853406,0,42.769633507853406,105.0,1.0,42.769633507853406,105.0,191,1.0,3.0,0,23051
30.383000328874285,64.828125,7.0,128,30.383000328874285,64.828125,1,64.828125,221.0,1.0,64.828125,221.0,128,1.0,7.0,1,30223
22.18152729325067,59.464285714285715,8.0,140,22.18152729325067,59.464285714285715,2,59.464285714285715,119.0,1.0,59.464285714285715,119.0,140,1.0,8.0,2,37630
27.609810529239418,68.62711864406779,5.0,118,27.609810529239418,68.62711864406779,3,68.62711864406779,166.0,1.0,68.62711864406779,166.0,118,1.0,5.0,3,45049
32.63949160878536,80.05825242718447,6.0,103,32.63949160878536,80.05825242718447,4,80.05825242718447,232.0,1.0,80.05825242718447,232.0,103,1.0,6.0,4,52360
337.3344925048531,301.38709677419354,12.0,31,337.3344925048531,301.38709677419354,5,301.38709677419354,1000.0,0.8709677419354839,301.38709677419354,1000.0,31,0.8709677419354839,12.0,5,59696
249.86541097085185,263.93939393939394,32.0,33,249.86541097085185,263.93939393939394,6,263.93939393939394,1000.0,0.9696969696969697,263.93939393939394,1000.0,33,0.9696969696969697,32.0,6,69367
231.0968011061198,175.16666666666666,19.0,54,231.0968011061198,175.16666666666666,7,175.16666666666666,1000.0,0.9629629629629629,175.16666666666666,1000.0,54,0.9629629629629629,19.0,7,79644
390.20436810585414,567.8666666666667,24.0,15,390.20436810585414,567.8666666666667,8,567.8666666666667,1000.0,0.6,567.8666666666667,1000.0,15,0.6,24.0,8,89549
436.4749563262479,450.75,36.0,20,436.4749563262479,450.75,9,450.75,1000.0,0.65,450.75,1000.0,20,0.65,36.0,9,99118
208.52935045216057,896.9,415.0,10,208.52935045216057,896.9,10,896.9,1000.0,0.2,896.9,1000.0,10,0.2,415.0,10,109349
315.9524437951518,258.8484848484849,6.0,33,315.9524437951518,258.8484848484849,11,258.8484848484849,1000.0,0.8787878787878788,258.8484848484849,1000.0,33,0.8787878787878788,6.0,11,120289
404.5637648674804,337.8125,21.0,32,404.5637648674804,337.8125,12,337.8125,1000.0,0.8125,337.8125,1000.0,32,0.8125,21.0,12,129309
250.98962515606158,151.12280701754386,17.0,57,250.98962515606158,151.12280701754386,13,151.12280701754386,1000.0,0.9298245614035088,151.12280701754386,1000.0,57,0.9298245614035088,17.0,13,140472
