MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate
-163.01047104927278,0.0,-220.80479307562157,0,25,-220.80479307562157,-220.80479307562157,-220.80479307562157,30.260468677037967,-279.02340664865494,60000,0,25,-279.02340664865494,30.260468677037967,-163.01047104927278,0.0
-7.027178442741171,0.0,-71.9980608554704,1,25,-71.9980608554704,-71.9980608554704,-71.9980608554704,35.53082197814563,-128.07384885990507,70000,1,25,-128.07384885990507,35.53082197814563,-7.027178442741171,0.0
238.09225533961416,0.0,96.13720427993343,2,25,96.13720427993343,96.13720427993343,96.13720427993343,69.72180875430074,-25.84795939939527,80000,2,25,-25.84795939939527,69.72180875430074,238.09225533961416,0.0
362.9150766038216,0.0,217.46630049341616,3,25,217.46630049341616,217.46630049341616,217.46630049341616,79.20763187416192,85.98879027173976,90000,3,25,85.98879027173976,79.20763187416192,362.9150766038216,0.0
561.1268203351505,0.0,303.4500135211734,4,25,303.4500135211733,303.4500135211734,303.4500135211733,84.86866141384992,140.34103053353522,100000,4,25,140.34103053353522,84.86866141384992,561.1268203351505,0.0
969.5052479993328,0.0,459.5834834289552,5,25,459.5834834289554,459.5834834289552,459.5834834289554,193.23943083378134,182.85525824033076,110000,5,25,182.85525824033076,193.23943083378134,969.5052479993328,0.0
1387.536903332064,0.0,747.1636476004134,6,25,747.1636476004136,747.1636476004134,747.1636476004136,333.57726534344664,365.2214972074941,120000,6,25,365.2214972074941,333.57726534344664,1387.536903332064,0.0
1653.9189099106698,0.0,1219.873301054945,7,25,1219.8733010549452,1219.873301054945,1219.8733010549452,365.3074305804121,589.3271264738936,130000,7,25,589.3271264738936,365.3074305804121,1653.9189099106698,0.0
1883.842125107169,0.0,1261.7605520641691,8,25,1261.7605520641691,1261.7605520641691,1261.7605520641691,536.9726554919314,348.6833349124774,140000,8,25,348.6833349124774,536.9726554919314,1883.842125107169,0.0
2235.7760374639975,0.0,1734.1135874021884,9,25,1734.1135874021884,1734.1135874021884,1734.1135874021884,540.9226311302834,481.8141967133345,150000,9,25,481.8141967133345,540.9226311302834,2235.7760374639975,0.0
2937.0216423918337,0.0,2054.1805291473884,10,25,2054.1805291473884,2054.1805291473884,2054.1805291473884,705.0408685064489,393.61259401038467,160000,10,25,393.61259401038467,705.0408685064489,2937.0216423918337,0.0
3066.3410814412837,0.0,1799.9458548620457,11,25,1799.9458548620457,1799.9458548620457,1799.9458548620457,861.8017587981168,622.9489317772554,170000,11,25,622.9489317772554,861.8017587981168,3066.3410814412837,0.0
3157.5629159761447,0.0,2300.393790748032,12,25,2300.3937907480317,2300.393790748032,2300.3937907480317,790.8983430421006,663.7425966762094,180000,12,25,663.7425966762094,790.8983430421006,3157.5629159761447,0.0
3574.505475296463,0.0,2817.571715628392,13,25,2817.5717156283918,2817.571715628392,2817.5717156283918,486.2480591429954,1327.7167886819498,190000,13,25,1327.7167886819498,486.2480591429954,3574.505475296463,0.0
3728.0662653745967,0.0,3008.3955206205615,14,25,3008.39552062056,3008.3955206205615,3008.39552062056,739.8290170440125,336.5820069593125,200000,14,25,336.5820069593125,739.8290170440125,3728.0662653745967,0.0
3917.174542203846,0.0,3081.0051293043366,15,25,3081.0051293043375,3081.0051293043366,3081.0051293043375,699.0297679759702,877.3496530915418,210000,15,25,877.3496530915418,699.0297679759702,3917.174542203846,0.0
3723.501942612624,0.0,2664.3422269016564,16,25,2664.3422269016555,2664.3422269016564,2664.3422269016555,1147.614587981314,549.3193003759731,220000,16,25,549.3193003759731,1147.614587981314,3723.501942612624,0.0
4257.822530196145,0.0,3317.7249138411453,17,25,3317.7249138411453,3317.7249138411453,3317.7249138411453,1035.1878949225193,629.6379544464139,230000,17,25,629.6379544464139,1035.1878949225193,4257.822530196145,0.0
4013.557993551218,0.0,3638.159524856383,18,25,3638.159524856382,3638.159524856383,3638.159524856382,383.9425415322409,2278.0935758592827,240000,18,25,2278.0935758592827,383.9425415322409,4013.557993551218,0.0
4403.179108264589,0.0,3926.133783472274,19,25,3926.133783472272,3926.133783472274,3926.133783472272,325.24874763841484,2817.7600719181105,250000,19,25,2817.7600719181105,325.24874763841484,4403.179108264589,0.0
4468.115526267267,0.0,3662.0747078235117,20,25,3662.074707823511,3662.0747078235117,3662.074707823511,793.6695385480119,1065.192037154169,260000,20,25,1065.192037154169,793.6695385480119,4468.115526267267,0.0
5010.228728374971,0.0,4343.403788226678,21,25,4343.403788226679,4343.403788226678,4343.403788226679,371.7384140413194,3484.781842807136,270000,21,25,3484.781842807136,371.7384140413194,5010.228728374971,0.0
5036.863742023233,0.0,4252.561216562171,22,25,4252.561216562171,4252.561216562171,4252.561216562171,880.227674084287,1063.015695477807,280000,22,25,1063.015695477807,880.227674084287,5036.863742023233,0.0
5120.014124065945,0.0,4457.609026138837,23,25,4457.609026138837,4457.609026138837,4457.609026138837,310.68813992174313,3986.179963208416,290000,23,25,3986.179963208416,310.68813992174313,5120.014124065945,0.0
5183.159533001952,0.0,4576.048909744473,24,25,4576.048909744472,4576.048909744473,4576.048909744472,319.8385608717995,4041.4102238760433,300000,24,25,4041.4102238760433,319.8385608717995,5183.159533001952,0.0
5247.695933203231,0.0,4659.699367618989,25,25,4659.6993676189895,4659.699367618989,4659.6993676189895,267.25165268323445,4242.746916410904,310000,25,25,4242.746916410904,267.25165268323445,5247.695933203231,0.0
5600.380818080662,0.0,4819.065074767313,26,25,4819.0650747673135,4819.065074767313,4819.0650747673135,393.3428055427861,4156.710622690618,320000,26,25,4156.710622690618,393.3428055427861,5600.380818080662,0.0
5530.705280611936,0.0,4859.092489333741,27,25,4859.092489333739,4859.092489333741,4859.092489333739,355.8858490739684,4272.7095304340455,330000,27,25,4272.7095304340455,355.8858490739684,5530.705280611936,0.0
5866.518946909316,0.0,5088.4182589529655,28,25,5088.418258952967,5088.4182589529655,5088.418258952967,551.9736575225046,3269.5162798024357,340000,28,25,3269.5162798024357,551.9736575225046,5866.518946909316,0.0
6067.121265549892,0.0,5083.529659825081,29,25,5083.529659825081,5083.529659825081,5083.529659825081,839.9425550679435,1573.8536185526686,350000,29,25,1573.8536185526686,839.9425550679435,6067.121265549892,0.0
6197.648196529103,0.0,5118.085336383426,30,25,5118.085336383425,5118.085336383426,5118.085336383425,583.6234552631346,3153.2915713031025,360000,30,25,3153.2915713031025,583.6234552631346,6197.648196529103,0.0
6036.0912742104665,0.0,5351.045407506695,31,25,5351.045407506693,5351.045407506695,5351.045407506693,483.7658333029026,4345.794230118308,370000,31,25,4345.794230118308,483.7658333029026,6036.0912742104665,0.0
5988.356299218701,0.0,5306.557653686114,32,25,5306.5576536861145,5306.557653686114,5306.5576536861145,405.7814336276435,4482.28587945349,380000,32,25,4482.28587945349,405.7814336276435,5988.356299218701,0.0
6282.799853238904,0.0,5321.171325279906,33,25,5321.171325279907,5321.171325279906,5321.171325279907,771.526412093904,2266.808045507757,390000,33,25,2266.808045507757,771.526412093904,6282.799853238904,0.0
6357.258580313004,0.0,5515.59331530664,34,25,5515.593315306639,5515.59331530664,5515.593315306639,667.4540792698554,3185.1359586958124,400000,34,25,3185.1359586958124,667.4540792698554,6357.258580313004,0.0
6494.859383698131,0.0,5506.605807520498,35,25,5506.6058075205,5506.605807520498,5506.6058075205,590.4595741227868,4605.356036684761,410000,35,25,4605.356036684761,590.4595741227868,6494.859383698131,0.0
6594.383313279465,0.0,5550.331257186243,36,25,5550.331257186243,5550.331257186243,5550.331257186243,512.1830225207892,4699.029627904331,420000,36,25,4699.029627904331,512.1830225207892,6594.383313279465,0.0
6621.937302759853,0.0,5613.841074404801,37,25,5613.841074404801,5613.841074404801,5613.841074404801,530.4529922490705,4604.903910829614,430000,37,25,4604.903910829614,530.4529922490705,6621.937302759853,0.0
6748.267773938996,0.0,5741.752630279873,38,25,5741.752630279872,5741.752630279873,5741.752630279872,476.643871870925,4748.348568563275,440000,38,25,4748.348568563275,476.643871870925,6748.267773938996,0.0
6996.579102590358,0.0,5881.953891567587,39,25,5881.953891567586,5881.953891567587,5881.953891567586,527.8662880458397,5020.675732049224,450000,39,25,5020.675732049224,527.8662880458397,6996.579102590358,0.0
6734.0160779118705,0.0,5896.9467413619495,40,25,5896.946741361952,5896.9467413619495,5896.946741361952,488.0560479155874,4871.387745277941,460000,40,25,4871.387745277941,488.0560479155874,6734.0160779118705,0.0
7211.173331527489,0.0,5737.17570016191,41,25,5737.175700161909,5737.17570016191,5737.175700161909,680.2132132888079,4783.981526375366,470000,41,25,4783.981526375366,680.2132132888079,7211.173331527489,0.0
7036.937755702118,0.0,5987.575495652267,42,25,5987.575495652268,5987.575495652267,5987.575495652268,547.6108961268386,4897.730441831312,480000,42,25,4897.730441831312,547.6108961268386,7036.937755702118,0.0
7090.336651966635,0.0,5872.080442560962,43,25,5872.080442560962,5872.080442560962,5872.080442560962,586.790833103665,4986.124674644335,490000,43,25,4986.124674644335,586.790833103665,7090.336651966635,0.0
6995.563379570105,0.0,6085.401840090481,44,25,6085.401840090481,6085.401840090481,6085.401840090481,530.5782643763291,5112.7522852256325,500000,44,25,5112.7522852256325,530.5782643763291,6995.563379570105,0.0
7175.834095851937,0.0,6308.1553845353565,45,25,6308.1553845353565,6308.1553845353565,6308.1553845353565,596.5608316783926,5108.476603078849,510000,45,25,5108.476603078849,596.5608316783926,7175.834095851937,0.0
7271.7707730518305,0.0,6424.983394574982,46,25,6424.9833945749815,6424.983394574982,6424.9833945749815,651.6904143856308,5054.491008874419,520000,46,25,5054.491008874419,651.6904143856308,7271.7707730518305,0.0
7375.9434734690885,0.0,6350.774695199134,47,25,6350.774695199136,6350.774695199134,6350.774695199136,658.0539312955078,5164.727456999162,530000,47,25,5164.727456999162,658.0539312955078,7375.9434734690885,0.0
7678.2355407605755,0.0,6518.08472996072,48,25,6518.08472996072,6518.08472996072,6518.08472996072,607.3445047913212,5517.1133417758765,540000,48,25,5517.1133417758765,607.3445047913212,7678.2355407605755,0.0
7994.2454778706615,0.0,6664.318853632947,49,25,6664.318853632946,6664.318853632947,6664.318853632946,870.1520264946744,5194.943818264321,550000,49,25,5194.943818264321,870.1520264946744,7994.2454778706615,0.0
8007.75374002333,0.0,6959.0017242969925,50,25,6959.0017242969925,6959.0017242969925,6959.0017242969925,696.4608370777582,5665.100960063268,560000,50,25,5665.100960063268,696.4608370777582,8007.75374002333,0.0
7732.765906538096,0.0,6442.535739983392,51,25,6442.535739983395,6442.535739983392,6442.535739983395,670.6819537613134,4989.311072908456,570000,51,25,4989.311072908456,670.6819537613134,7732.765906538096,0.0
7520.909136726934,0.0,6397.196666806724,52,25,6397.19666680672,6397.196666806724,6397.19666680672,705.5561664020591,5207.722059902622,580000,52,25,5207.722059902622,705.5561664020591,7520.909136726934,0.0
8056.085895826222,0.0,7144.259495195686,53,25,7144.259495195686,7144.259495195686,7144.259495195686,559.6016255873479,5956.688773464408,590000,53,25,5956.688773464408,559.6016255873479,8056.085895826222,0.0
8170.726628518331,0.0,6958.644572306118,54,25,6958.644572306121,6958.644572306118,6958.644572306121,858.7932279673802,5282.097090904583,600000,54,25,5282.097090904583,858.7932279673802,8170.726628518331,0.0
8477.294514539082,0.0,7037.021916432509,55,25,7037.021916432509,7037.021916432509,7037.021916432509,762.6781688313638,5747.971864346689,610000,55,25,5747.971864346689,762.6781688313638,8477.294514539082,0.0
8460.774428681145,0.0,7125.842157764829,56,25,7125.842157764829,7125.842157764829,7125.842157764829,839.0736686843314,5346.735234975519,620000,56,25,5346.735234975519,839.0736686843314,8460.774428681145,0.0
8096.445201641931,0.0,6927.737318153057,57,25,6927.737318153057,6927.737318153057,6927.737318153057,748.3094859240972,5539.902703568821,630000,57,25,5539.902703568821,748.3094859240972,8096.445201641931,0.0
8203.655312764151,0.0,6817.871358314992,58,25,6817.871358314992,6817.871358314992,6817.871358314992,967.5834723972638,5358.117072199578,640000,58,25,5358.117072199578,967.5834723972638,8203.655312764151,0.0
8371.075483028879,0.0,6916.8918783744875,59,25,6916.8918783744875,6916.8918783744875,6916.8918783744875,924.9345425351768,5532.122112216036,650000,59,25,5532.122112216036,924.9345425351768,8371.075483028879,0.0
8243.17486343375,0.0,6626.55378477961,60,25,6626.553784779611,6626.55378477961,6626.553784779611,922.6477378060334,5257.868313328634,660000,60,25,5257.868313328634,922.6477378060334,8243.17486343375,0.0
8519.51940293244,0.0,7194.207346175871,61,25,7194.207346175868,7194.207346175871,7194.207346175868,877.6704120086763,5532.088042436229,670000,61,25,5532.088042436229,877.6704120086763,8519.51940293244,0.0
8421.14340820258,0.0,7243.16679538677,62,25,7243.166795386766,7243.16679538677,7243.166795386766,915.4047365923757,5268.352306973306,680000,62,25,5268.352306973306,915.4047365923757,8421.14340820258,0.0
8597.276495978134,0.0,7414.996043680436,63,25,7414.996043680435,7414.996043680436,7414.996043680435,909.07117592531,5754.610744307926,690000,63,25,5754.610744307926,909.07117592531,8597.276495978134,0.0
8502.470780157248,0.0,7288.75932586394,64,25,7288.75932586394,7288.75932586394,7288.75932586394,899.2040017390055,5516.615864033187,700000,64,25,5516.615864033187,899.2040017390055,8502.470780157248,0.0
8809.51763114743,0.0,7641.810552615572,65,25,7641.810552615574,7641.810552615572,7641.810552615574,919.4794378200738,5688.796542279387,710000,65,25,5688.796542279387,919.4794378200738,8809.51763114743,0.0
8658.487104450316,0.0,7261.529157494357,66,25,7261.529157494357,7261.529157494357,7261.529157494357,873.8302620860659,5234.719177825764,720000,66,25,5234.719177825764,873.8302620860659,8658.487104450316,0.0
8650.306649176617,0.0,7442.898142690775,67,25,7442.898142690776,7442.898142690775,7442.898142690776,951.1695964267265,5383.610507671111,730000,67,25,5383.610507671111,951.1695964267265,8650.306649176617,0.0
8871.59766734526,0.0,7489.239767781684,68,25,7489.2397677816825,7489.239767781684,7489.2397677816825,1080.9360031254175,5418.549655637614,740000,68,25,5418.549655637614,1080.9360031254175,8871.59766734526,0.0
9007.256112332594,0.0,7686.02010920582,69,25,7686.020109205818,7686.02010920582,7686.020109205818,1032.8936486335838,5343.809111247059,750000,69,25,5343.809111247059,1032.8936486335838,9007.256112332594,0.0
9065.79573085109,0.0,7930.408704179863,70,25,7930.408704179864,7930.408704179863,7930.408704179864,470.9695768450753,6823.122607226173,760000,70,25,6823.122607226173,470.9695768450753,9065.79573085109,0.0
9121.064162666973,0.0,7568.101436409413,71,25,7568.1014364094135,7568.101436409413,7568.1014364094135,1302.7606402985843,5299.301176149966,770000,71,25,5299.301176149966,1302.7606402985843,9121.064162666973,0.0
9196.920697254463,0.0,7636.444318105121,72,25,7636.444318105121,7636.444318105121,7636.444318105121,892.8398505931284,6243.168853176906,780000,72,25,6243.168853176906,892.8398505931284,9196.920697254463,0.0
9245.787231761493,0.0,8278.692130442203,73,25,8278.692130442205,8278.692130442203,8278.692130442205,1165.562966044748,3475.2326061688277,790000,73,25,3475.2326061688277,1165.562966044748,9245.787231761493,0.0
9525.379192795015,0.0,7949.621252926869,74,25,7949.621252926866,7949.621252926869,7949.621252926866,958.0128549565958,5776.347646147539,800000,74,25,5776.347646147539,958.0128549565958,9525.379192795015,0.0
9493.408505322495,0.0,7852.706343365242,75,25,7852.706343365242,7852.706343365242,7852.706343365242,1253.004755837811,5260.045376778906,810000,75,25,5260.045376778906,1253.004755837811,9493.408505322495,0.0
9311.70345525367,0.0,7762.225633841974,76,25,7762.225633841973,7762.225633841974,7762.225633841973,1184.9131571328453,5561.910458873389,820000,76,25,5561.910458873389,1184.9131571328453,9311.70345525367,0.0
9818.551873431912,0.0,8218.083251348244,77,25,8218.083251348242,8218.083251348244,8218.083251348242,1600.2343140598123,1559.7771945484978,830000,77,25,1559.7771945484978,1600.2343140598123,9818.551873431912,0.0
9567.730440219175,0.0,8131.5831481926425,78,25,8131.583148192643,8131.5831481926425,8131.583148192643,1033.9453960298536,5369.76919981583,840000,78,25,5369.76919981583,1033.9453960298536,9567.730440219175,0.0
9572.718423412995,0.0,7908.208939453788,79,25,7908.208939453787,7908.208939453788,7908.208939453787,1042.4548877651653,5545.835644219859,850000,79,25,5545.835644219859,1042.4548877651653,9572.718423412995,0.0
10140.649506960033,0.0,8755.02037334886,80,25,8755.020373348863,8755.02037334886,8755.020373348863,605.0885231846272,7736.53447216608,860000,80,25,7736.53447216608,605.0885231846272,10140.649506960033,0.0
9965.613385855528,0.0,8641.150474367561,81,25,8641.150474367561,8641.150474367561,8641.150474367561,952.935315539017,5880.581337385218,870000,81,25,5880.581337385218,952.935315539017,9965.613385855528,0.0
9915.108945624215,0.0,8512.926632465618,82,25,8512.926632465618,8512.926632465618,8512.926632465618,1033.1621654138628,6158.637560120423,880000,82,25,6158.637560120423,1033.1621654138628,9915.108945624215,0.0
10250.172769130784,0.0,8621.149331683637,83,25,8621.149331683639,8621.149331683637,8621.149331683639,973.7160240576032,6340.4299490939065,890000,83,25,6340.4299490939065,973.7160240576032,10250.172769130784,0.0
10108.879517724985,0.0,8395.33452053999,84,25,8395.334520539986,8395.33452053999,8395.334520539986,1085.8863933944428,6321.102985054893,900000,84,25,6321.102985054893,1085.8863933944428,10108.879517724985,0.0
10245.028407553473,0.0,8872.344961106592,85,25,8872.344961106592,8872.344961106592,8872.344961106592,948.7500952593053,6037.007459082131,910000,85,25,6037.007459082131,948.7500952593053,10245.028407553473,0.0
10895.60609645214,0.0,8838.00987118306,86,25,8838.009871183063,8838.00987118306,8838.009871183063,1313.8087358473013,5487.654926363307,920000,86,25,5487.654926363307,1313.8087358473013,10895.60609645214,0.0
10427.830904989201,0.0,8683.427421278275,87,25,8683.427421278277,8683.427421278275,8683.427421278277,1237.9023383887927,5766.176882369982,930000,87,25,5766.176882369982,1237.9023383887927,10427.830904989201,0.0
9780.630945816349,0.0,8445.971182141015,88,25,8445.971182141018,8445.971182141015,8445.971182141018,1161.2934695436284,5536.670291850843,940000,88,25,5536.670291850843,1161.2934695436284,9780.630945816349,0.0
10399.953016707108,0.0,8777.453355592652,89,25,8777.453355592652,8777.453355592652,8777.453355592652,1310.039105798073,5864.572026006775,950000,89,25,5864.572026006775,1310.039105798073,10399.953016707108,0.0
