MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MinReturn,TotalEnvSteps,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn
53.26282051282051,6.0,53.26282051282051,19.10970762146927,156,53.26282051282051,53.26282051282051,0,19.10970762146927,106.0,156,0,6.0,23034,1.0,1.0,106.0
102.08333333333333,48.0,102.08333333333333,40.19986032116617,84,102.08333333333333,102.08333333333333,1,40.19986032116617,252.0,84,1,48.0,30281,1.0,1.0,252.0
75.99090909090908,38.0,75.99090909090908,21.246815998700715,110,75.99090909090908,75.99090909090908,2,21.246815998700715,169.0,110,2,38.0,37491,1.0,1.0,169.0
68.43801652892562,38.0,68.43801652892562,18.59391732140107,121,68.43801652892562,68.43801652892562,3,18.59391732140107,123.0,121,3,38.0,44961,1.0,1.0,123.0
86.10576923076923,16.0,86.10576923076923,124.60521645066058,104,86.10576923076923,86.10576923076923,4,124.60521645066058,1000.0,104,4,16.0,52317,0.9903846153846154,0.9903846153846154,1000.0
811.9166666666666,133.0,811.9166666666666,287.71845565104474,12,811.9166666666666,811.9166666666666,5,287.71845565104474,1000.0,12,5,133.0,60391,0.3333333333333333,0.3333333333333333,1000.0
813.9090909090909,224.0,813.9090909090909,269.1297269298867,11,813.9090909090909,813.9090909090909,6,269.1297269298867,1000.0,11,6,224.0,70796,0.36363636363636365,0.36363636363636365,1000.0
519.65,11.0,519.65,340.99725438777364,20,519.65,519.65,7,340.99725438777364,1000.0,20,7,11.0,80251,0.75,0.75,1000.0
446.6190476190476,64.0,446.6190476190476,375.05726244585463,21,446.6190476190476,446.6190476190476,8,375.05726244585463,1000.0,21,8,64.0,92416,0.7619047619047619,0.7619047619047619,1000.0
668.0,58.0,668.0,404.79212772318914,12,668.0,668.0,9,404.79212772318914,1000.0,12,9,58.0,103180,0.4166666666666667,0.4166666666666667,1000.0
403.6666666666667,15.0,403.6666666666667,392.034659951355,21,403.6666666666667,403.6666666666667,10,392.034659951355,1000.0,21,10,15.0,113023,0.7142857142857143,0.7142857142857143,1000.0
616.6923076923077,5.0,616.6923076923077,441.9233112404815,13,616.6923076923077,616.6923076923077,11,441.9233112404815,1000.0,13,11,5.0,123365,0.46153846153846156,0.46153846153846156,1000.0
1000.0,1000.0,1000.0,0.0,8,1000.0,1000.0,12,0.0,1000.0,8,12,1000.0,133142,0.0,0.0,1000.0
880.9090909090909,21.0,880.9090909090909,279.69023597396733,11,880.9090909090909,880.9090909090909,13,279.69023597396733,1000.0,11,13,21.0,143235,0.2727272727272727,0.2727272727272727,1000.0
644.9285714285714,35.0,644.9285714285714,387.64204111630653,14,644.9285714285714,644.9285714285714,14,387.64204111630653,1000.0,14,14,35.0,152552,0.5,0.5,1000.0
682.25,14.0,682.25,402.7118748766501,12,682.25,682.25,15,402.7118748766501,1000.0,12,15,14.0,162787,0.4166666666666667,0.4166666666666667,1000.0
1000.0,1000.0,1000.0,0.0,8,1000.0,1000.0,16,0.0,1000.0,8,16,1000.0,174758,0.0,0.0,1000.0
913.7777777777778,518.0,913.7777777777778,167.28271331144623,9,913.7777777777778,913.7777777777778,17,167.28271331144623,1000.0,9,17,518.0,186926,0.2222222222222222,0.2222222222222222,1000.0
493.22222222222223,3.0,493.22222222222223,389.84549012761386,18,493.22222222222223,493.22222222222223,18,389.84549012761386,1000.0,18,18,3.0,197285,0.6666666666666666,0.6666666666666666,1000.0
132.9344262295082,11.0,132.9344262295082,260.28092445376564,61,132.9344262295082,132.9344262295082,19,260.28092445376564,1000.0,61,19,11.0,207580,0.9180327868852459,0.9180327868852459,1000.0
1000.0,1000.0,1000.0,0.0,8,1000.0,1000.0,20,0.0,1000.0,8,20,1000.0,218496,0.0,0.0,1000.0
916.8,461.0,916.8,175.2562695026914,10,916.8,916.8,21,175.2562695026914,1000.0,10,21,461.0,227646,0.2,0.2,1000.0
332.22222222222223,6.0,332.22222222222223,429.2067043531921,27,332.22222222222223,332.22222222222223,22,429.2067043531921,1000.0,27,22,6.0,239343,0.7407407407407407,0.7407407407407407,1000.0
905.3,65.0,905.3,280.12284805063655,10,905.3,905.3,23,280.12284805063655,1000.0,10,23,65.0,251451,0.2,0.2,1000.0
515.25,3.0,515.25,431.3127490580356,16,515.25,515.25,24,431.3127490580356,1000.0,16,24,3.0,260935,0.5625,0.5625,1000.0
376.7391304347826,12.0,376.7391304347826,420.45639978597427,23,376.7391304347826,376.7391304347826,25,420.45639978597427,1000.0,23,25,12.0,271628,0.6956521739130435,0.6956521739130435,1000.0
926.9,471.0,926.9,163.46525624731393,10,926.9,926.9,26,163.46525624731393,1000.0,10,26,471.0,282148,0.2,0.2,1000.0
506.125,44.0,506.125,440.04827505059035,16,506.125,506.125,27,440.04827505059035,1000.0,16,27,44.0,292027,0.5625,0.5625,1000.0
673.2142857142857,162.0,673.2142857142857,312.8509865669571,14,673.2142857142857,673.2142857142857,28,312.8509865669571,1000.0,14,28,162.0,302803,0.5714285714285714,0.5714285714285714,1000.0
