MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration
38,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,399926,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,38
39,914.8888888888889,1000.0,234.0,914.8888888888889,1000.0,240.73057528395353,411271,914.8888888888889,9,914.8888888888889,9,234.0,0.1111111111111111,240.73057528395353,0.1111111111111111,39
40,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,422591,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,40
41,770.0,1000.0,250.0,770.0,1000.0,282.73279493778807,433135,770.0,12,770.0,12,250.0,0.4166666666666667,282.73279493778807,0.4166666666666667,41
42,866.4,1000.0,262.0,866.4,1000.0,266.18572463601424,442811,866.4,10,866.4,10,262.0,0.3,266.18572463601424,0.3,42
43,817.0,1000.0,166.0,817.0,1000.0,269.243074810353,453350,817.0,12,817.0,12,166.0,0.4166666666666667,269.243074810353,0.4166666666666667,43
44,955.6666666666666,1000.0,601.0,955.6666666666666,1000.0,125.39360253041443,464466,955.6666666666666,9,955.6666666666666,9,601.0,0.1111111111111111,125.39360253041443,0.1111111111111111,44
45,873.2,1000.0,288.0,873.2,1000.0,255.98781220987846,473913,873.2,10,873.2,10,288.0,0.2,255.98781220987846,0.2,45
46,902.8181818181819,1000.0,512.0,902.8181818181819,1000.0,171.21003484918123,484547,902.8181818181819,11,902.8181818181819,11,512.0,0.2727272727272727,171.21003484918123,0.2727272727272727,46
47,988.4444444444445,1000.0,896.0,988.4444444444445,1000.0,32.68404677484486,494566,988.4444444444445,9,988.4444444444445,9,896.0,0.1111111111111111,32.68404677484486,0.1111111111111111,47
48,795.4166666666666,1000.0,244.0,795.4166666666666,1000.0,296.1130016095582,505054,795.4166666666666,12,795.4166666666666,12,244.0,0.4166666666666667,296.1130016095582,0.4166666666666667,48
49,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,516503,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,49
50,925.7777777777778,1000.0,332.0,925.7777777777778,1000.0,209.9321465922728,526994,925.7777777777778,9,925.7777777777778,9,332.0,0.1111111111111111,209.9321465922728,0.1111111111111111,50
51,891.5454545454545,1000.0,424.0,891.5454545454545,1000.0,207.21853358509472,536609,891.5454545454545,11,891.5454545454545,11,424.0,0.2727272727272727,207.21853358509472,0.2727272727272727,51
52,964.3333333333334,1000.0,679.0,964.3333333333334,1000.0,100.88056744928079,547156,964.3333333333334,9,964.3333333333334,9,679.0,0.1111111111111111,100.88056744928079,0.1111111111111111,52
53,897.2,1000.0,197.0,897.2,1000.0,242.84884187494077,556551,897.2,10,897.2,10,197.0,0.2,242.84884187494077,0.2,53
54,943.5555555555555,1000.0,492.0,943.5555555555555,1000.0,159.64899770789606,566340,943.5555555555555,9,943.5555555555555,9,492.0,0.1111111111111111,159.64899770789606,0.1111111111111111,54
55,993.0,1000.0,937.0,993.0,1000.0,19.79898987322333,576890,993.0,9,993.0,9,937.0,0.1111111111111111,19.79898987322333,0.1111111111111111,55
56,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,586691,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,56
57,915.5555555555555,1000.0,240.0,915.5555555555555,1000.0,238.84495720078937,596148,915.5555555555555,9,915.5555555555555,9,240.0,0.1111111111111111,238.84495720078937,0.1111111111111111,57
58,930.6666666666666,1000.0,376.0,930.6666666666666,1000.0,196.10428064906918,606871,930.6666666666666,9,930.6666666666666,9,376.0,0.1111111111111111,196.10428064906918,0.1111111111111111,58
59,907.1,1000.0,570.0,907.1,1000.0,154.29222274631994,618055,907.1,10,907.1,10,570.0,0.3,154.29222274631994,0.3,59
60,925.3,1000.0,527.0,925.3,1000.0,155.88588775126502,627326,925.3,10,925.3,10,527.0,0.2,155.88588775126502,0.2,60
61,843.6153846153846,1000.0,346.0,843.6153846153846,1000.0,229.76126019499137,636835,843.6153846153846,13,843.6153846153846,13,346.0,0.46153846153846156,229.76126019499137,0.46153846153846156,61
62,897.9090909090909,1000.0,367.0,897.9090909090909,1000.0,192.8209034997147,646762,897.9090909090909,11,897.9090909090909,11,367.0,0.2727272727272727,192.8209034997147,0.2727272727272727,62
63,896.6363636363636,1000.0,195.0,896.6363636363636,1000.0,234.56236725491883,656485,896.6363636363636,11,896.6363636363636,11,195.0,0.2727272727272727,234.56236725491883,0.2727272727272727,63
64,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,668382,1000.0,8,1000.0,8,1000.0,0.0,0.0,0.0,64
65,962.7777777777778,1000.0,665.0,962.7777777777778,1000.0,105.28034297666375,678214,962.7777777777778,9,962.7777777777778,9,665.0,0.1111111111111111,105.28034297666375,0.1111111111111111,65
66,876.1,1000.0,316.0,876.1,1000.0,249.47322501623293,687373,876.1,10,876.1,10,316.0,0.2,249.47322501623293,0.2,66
67,845.0909090909091,1000.0,360.0,845.0909090909091,1000.0,226.0866505429257,695957,845.0909090909091,11,845.0909090909091,11,360.0,0.36363636363636365,226.0866505429257,0.36363636363636365,67
