MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn
-325.4615720189796,60000,-200.9731793945521,0.0,-200.97317939455203,0.0,25,0,-117.1204551213795,-117.1204551213795,43.10050196738668,0,-325.4615720189796,43.10050196738668,-200.97317939455203,25,-200.9731793945521
-425.46617550128394,70000,-339.05429321565913,0.0,-339.0542932156591,0.0,25,1,-258.53584842999254,-258.53584842999254,39.27883342247197,1,-425.46617550128394,39.27883342247197,-339.0542932156591,25,-339.05429321565913
-282.430612037249,80000,-215.50016553752738,0.0,-215.5001655375273,0.0,25,2,-172.3655325776647,-172.3655325776647,30.44088345038667,2,-282.430612037249,30.44088345038667,-215.5001655375273,25,-215.50016553752738
-214.23242610176305,90000,-147.95398890654542,0.0,-147.9539889065454,0.0,25,3,-58.030400562479706,-58.030400562479706,46.92826296462067,3,-214.23242610176305,46.92826296462067,-147.9539889065454,25,-147.95398890654542
-140.24518052114988,100000,4.846651304997809,0.0,4.846651304997876,0.0,25,4,579.5367853831114,579.5367853831114,160.43212798783966,4,-140.24518052114988,160.43212798783966,4.846651304997876,25,4.846651304997809
-119.67122707940041,110000,286.06498401711656,0.0,286.06498401711656,0.0,25,5,1169.385652623613,1169.385652623613,344.1753305440352,5,-119.67122707940041,344.1753305440352,286.06498401711656,25,286.06498401711656
-30.333782586482585,120000,1411.3398903681568,0.0,1411.3398903681577,0.0,25,6,1920.305839807411,1920.305839807411,514.1645624436208,6,-30.333782586482585,514.1645624436208,1411.3398903681577,25,1411.3398903681568
72.81105146644123,130000,1339.6400927911263,0.0,1339.6400927911263,0.0,25,7,2143.1290765686786,2143.1290765686786,721.9812428243763,7,72.81105146644123,721.9812428243763,1339.6400927911263,25,1339.6400927911263
424.95912333141433,140000,1841.541077233027,0.0,1841.5410772330267,0.0,25,8,2454.496371026698,2454.496371026698,593.3953641999285,8,424.95912333141433,593.3953641999285,1841.5410772330267,25,1841.541077233027
941.3207152639138,150000,2336.509480300501,0.0,2336.5094803004995,0.0,25,9,2934.4108442809156,2934.4108442809156,567.5719198314042,9,941.3207152639138,567.5719198314042,2336.5094803004995,25,2336.509480300501
1171.1700891265277,160000,2781.969772170787,0.0,2781.969772170788,0.0,25,10,3226.7502492613803,3226.7502492613803,384.49172834349463,10,1171.1700891265277,384.49172834349463,2781.969772170788,25,2781.969772170787
41.7593533184139,170000,2725.3325240351132,0.0,2725.332524035113,0.0,25,11,3533.0098918567355,3533.0098918567355,830.1894027425097,11,41.7593533184139,830.1894027425097,2725.332524035113,25,2725.3325240351132
2787.898967596046,180000,3305.043330708182,0.0,3305.0433307081826,0.0,25,12,3759.272727762525,3759.272727762525,251.27450106321803,12,2787.898967596046,251.27450106321803,3305.0433307081826,25,3305.043330708182
2851.367970852246,190000,3589.3582100678836,0.0,3589.3582100678846,0.0,25,13,4028.439630478075,4028.439630478075,293.425079074369,13,2851.367970852246,293.425079074369,3589.3582100678846,25,3589.3582100678836
2045.6840011479994,200000,3712.1062585253662,0.0,3712.106258525366,0.0,25,14,4399.479682067221,4399.479682067221,425.550715001915,14,2045.6840011479994,425.550715001915,3712.106258525366,25,3712.1062585253662
1645.2420811115915,210000,4048.011708068807,0.0,4048.0117080688055,0.0,25,15,4516.870091027616,4516.870091027616,548.3945915289308,15,1645.2420811115915,548.3945915289308,4048.0117080688055,25,4048.011708068807
3613.6855498225004,220000,4211.338514087463,0.0,4211.3385140874625,0.0,25,16,4678.2623926079705,4678.2623926079705,334.2360112970519,16,3613.6855498225004,334.2360112970519,4211.3385140874625,25,4211.338514087463
1813.4686467841545,230000,4178.317762453638,0.0,4178.3177624536365,0.0,25,17,4792.319263308119,4792.319263308119,564.7250364303268,17,1813.4686467841545,564.7250364303268,4178.3177624536365,25,4178.317762453638
528.2528549488376,240000,4376.412780595245,0.0,4376.412780595246,0.0,25,18,5117.239200861523,5117.239200861523,833.9673128070393,18,528.2528549488376,833.9673128070393,4376.412780595246,25,4376.412780595245
85.66446834311515,250000,4463.672814755858,0.0,4463.672814755858,0.0,25,19,5237.882522072125,5237.882522072125,961.6981653323877,19,85.66446834311515,961.6981653323877,4463.672814755858,25,4463.672814755858
583.5709028630572,260000,4304.829600178994,0.0,4304.829600178993,0.0,25,20,5595.157447609004,5595.157447609004,1273.1782361791447,20,583.5709028630572,1273.1782361791447,4304.829600178993,25,4304.829600178994
1663.9299484291482,270000,4863.822317620609,0.0,4863.82231762061,0.0,25,21,5601.401364122711,5601.401364122711,770.2959909887996,21,1663.9299484291482,770.2959909887996,4863.82231762061,25,4863.822317620609
352.3707676325629,280000,4575.573976366829,0.0,4575.573976366828,0.0,25,22,5586.292060266099,5586.292060266099,1240.7728507277043,22,352.3707676325629,1240.7728507277043,4575.573976366828,25,4575.573976366829
1930.1056304603248,290000,4616.847714249624,0.0,4616.847714249623,0.0,25,23,5861.987180672261,5861.987180672261,781.1086053078983,23,1930.1056304603248,781.1086053078983,4616.847714249623,25,4616.847714249624
2665.2974728255344,300000,5091.345418190539,0.0,5091.345418190536,0.0,25,24,5979.702841457628,5979.702841457628,733.0226270060848,24,2665.2974728255344,733.0226270060848,5091.345418190536,25,5091.345418190539
2466.021640449225,310000,5125.982001171272,0.0,5125.982001171272,0.0,25,25,6007.826950449505,6007.826950449505,831.3146201419128,25,2466.021640449225,831.3146201419128,5125.982001171272,25,5125.982001171272
4227.356780218223,320000,5331.164109110026,0.0,5331.1641091100255,0.0,25,26,6215.004134928005,6215.004134928005,601.7980437059061,26,4227.356780218223,601.7980437059061,5331.1641091100255,25,5331.164109110026
376.5099883675499,330000,5199.272923677202,0.0,5199.272923677203,0.0,25,27,6137.530187919408,6137.530187919408,1136.4176971627762,27,376.5099883675499,1136.4176971627762,5199.272923677203,25,5199.272923677202
2835.72871877161,340000,5447.917159360982,0.0,5447.917159360983,0.0,25,28,6509.696732649294,6509.696732649294,752.2606604900287,28,2835.72871877161,752.2606604900287,5447.917159360983,25,5447.917159360982
2824.1903877077793,350000,5467.073114936582,0.0,5467.073114936582,0.0,25,29,6565.516264693064,6565.516264693064,940.8493216312917,29,2824.1903877077793,940.8493216312917,5467.073114936582,25,5467.073114936582
4227.962960861084,360000,5612.256342292492,0.0,5612.256342292493,0.0,25,30,6824.950378249501,6824.950378249501,761.2090616569026,30,4227.962960861084,761.2090616569026,5612.256342292493,25,5612.256342292492
