MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/Iteration
-270.60197819934365,47.6734598818235,-270.6019781993437,-378.26474166498076,47.6734598818235,25,-378.26474166498076,25,-270.60197819934365,0.0,60000,0.0,-199.6857268135614,-270.6019781993437,-199.6857268135614,0,0
-119.45985796422639,43.2885730152106,-119.45985796422643,-183.66102358665512,43.2885730152106,25,-183.66102358665512,25,-119.45985796422639,0.0,70000,0.0,-24.48987673095279,-119.45985796422643,-24.48987673095279,1,1
-108.35385386034335,88.96167032941193,-108.35385386034328,-229.34957533091765,88.96167032941193,25,-229.34957533091765,25,-108.35385386034335,0.0,80000,0.0,190.88458335262288,-108.35385386034328,190.88458335262288,2,2
-45.32865838245542,88.06673579843394,-45.328658382455494,-179.35042084906578,88.06673579843394,25,-179.35042084906578,25,-45.32865838245542,0.0,90000,0.0,148.7243098882234,-45.328658382455494,148.7243098882234,3,3
472.7197736766538,600.3857924851716,472.7197736766535,-119.61807577036456,600.3857924851716,25,-119.61807577036456,25,472.7197736766538,0.0,100000,0.0,1803.3566370755543,472.7197736766535,1803.3566370755543,4,4
1237.852112365934,663.3849001255755,1237.852112365934,3.4055964980678537,663.3849001255755,25,3.4055964980678537,25,1237.852112365934,0.0,110000,0.0,2127.431889162426,1237.852112365934,2127.431889162426,5,5
2196.3795979684237,294.93028086080574,2196.3795979684246,1553.0494860153403,294.93028086080574,25,1553.0494860153403,25,2196.3795979684237,0.0,120000,0.0,2743.107605452649,2196.3795979684246,2743.107605452649,6,6
2322.616105727287,483.71622367950715,2322.6161057272866,826.6639236219125,483.71622367950715,25,826.6639236219125,25,2322.616105727287,0.0,130000,0.0,2957.449874043268,2322.6161057272866,2957.449874043268,7,7
2662.7080820158612,522.942808097613,2662.7080820158603,927.5638586712698,522.942808097613,25,927.5638586712698,25,2662.7080820158612,0.0,140000,0.0,3412.7022015342113,2662.7080820158603,3412.7022015342113,8,8
2580.5478246023613,816.3439768927028,2580.5478246023613,305.2568713929723,816.3439768927028,25,305.2568713929723,25,2580.5478246023613,0.0,150000,0.0,3323.18167335844,2580.5478246023613,3323.18167335844,9,9
2968.3535037565157,621.4094289415475,2968.3535037565157,245.32969089930975,621.4094289415475,25,245.32969089930975,25,2968.3535037565157,0.0,160000,0.0,3626.467254485133,2968.3535037565157,3626.467254485133,10,10
3155.1150750046345,526.0533834892342,3155.1150750046336,1218.2282476726807,526.0533834892342,25,1218.2282476726807,25,3155.1150750046345,0.0,170000,0.0,3647.8830074563257,3155.1150750046336,3647.8830074563257,11,11
2871.80314820753,953.604969644794,2871.8031482075294,829.6259889566298,953.604969644794,25,829.6259889566298,25,2871.80314820753,0.0,180000,0.0,3872.514392344195,2871.8031482075294,3872.514392344195,12,12
3031.4261754207173,1105.8036402792256,3031.4261754207187,253.82993501260205,1105.8036402792256,25,253.82993501260205,25,3031.4261754207173,0.0,190000,0.0,4005.461015626488,3031.4261754207187,4005.461015626488,13,13
3602.538104772559,521.2543871664154,3602.5381047725587,1408.1301034238381,521.2543871664154,25,1408.1301034238381,25,3602.538104772559,0.0,200000,0.0,4275.950923948608,3602.5381047725587,4275.950923948608,14,14
3484.8019343352908,980.9657549097419,3484.8019343352908,340.7585720640411,980.9657549097419,25,340.7585720640411,25,3484.8019343352908,0.0,210000,0.0,4295.869200599731,3484.8019343352908,4295.869200599731,15,15
3896.7206135069473,659.2583320200598,3896.7206135069473,1125.5353955762603,659.2583320200598,25,1125.5353955762603,25,3896.7206135069473,0.0,220000,0.0,4451.666795944733,3896.7206135069473,4451.666795944733,16,16
4065.7037391251783,688.945738511118,4065.703739125178,1021.0863720312251,688.945738511118,25,1021.0863720312251,25,4065.7037391251783,0.0,230000,0.0,4745.21526434717,4065.703739125178,4745.21526434717,17,17
4377.3950220058105,253.0978901868549,4377.3950220058105,3920.9497899541543,253.0978901868549,25,3920.9497899541543,25,4377.3950220058105,0.0,240000,0.0,4754.807342578424,4377.3950220058105,4754.807342578424,18,18
4300.503365688261,690.5600556504716,4300.50336568826,1223.9440001253076,690.5600556504716,25,1223.9440001253076,25,4300.503365688261,0.0,250000,0.0,4899.0606890609615,4300.50336568826,4899.0606890609615,19,19
4154.5360341214,947.537666600306,4154.536034121401,405.3029291438814,947.537666600306,25,405.3029291438814,25,4154.5360341214,0.0,260000,0.0,4950.959713780659,4154.536034121401,4950.959713780659,20,20
4570.677481310406,281.1397474907659,4570.677481310404,4150.991726338749,281.1397474907659,25,4150.991726338749,25,4570.677481310406,0.0,270000,0.0,5070.048232208369,4570.677481310404,5070.048232208369,21,21
4654.087758114671,600.5074380590258,4654.087758114671,2170.8436518288368,600.5074380590258,25,2170.8436518288368,25,4654.087758114671,0.0,280000,0.0,5252.810167075455,4654.087758114671,5252.810167075455,22,22
4572.818116952664,728.2201160370533,4572.818116952664,1302.6378111964395,728.2201160370533,25,1302.6378111964395,25,4572.818116952664,0.0,290000,0.0,5216.147752781192,4572.818116952664,5216.147752781192,23,23
