MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/MinReturn
25,0.0,51.104692659887995,0,0.0,-71.16267668226294,-263.37328907826407,-179.73690423335603,-71.16267668226294,0,25,60000,51.104692659887995,-179.73690423335603,-179.7369042333561,-179.7369042333561,-263.37328907826407
25,0.0,25.11846692594467,1,0.0,-129.78185748406815,-241.899827597498,-189.6314961904828,-129.78185748406815,1,25,70000,25.11846692594467,-189.6314961904828,-189.6314961904827,-189.6314961904827,-241.899827597498
25,0.0,33.324216370256046,2,0.0,-82.1507267499603,-196.9024887030951,-143.1732797652075,-82.1507267499603,2,25,80000,33.324216370256046,-143.1732797652075,-143.1732797652075,-143.1732797652075,-196.9024887030951
25,0.0,76.61759081350056,3,0.0,157.1626229600508,-152.7162294351856,-22.352311541865646,157.1626229600508,3,25,90000,76.61759081350056,-22.352311541865646,-22.352311541865646,-22.352311541865646,-152.7162294351856
25,0.0,147.68031760321185,4,0.0,488.59210281719174,-53.39315199823168,112.54667129377363,488.59210281719174,4,25,100000,147.68031760321185,112.54667129377363,112.54667129377366,112.54667129377366,-53.39315199823168
25,0.0,616.2436912642127,5,0.0,1719.905210271056,-428.0552017420798,920.5557747209876,1719.905210271056,5,25,110000,616.2436912642127,920.5557747209876,920.5557747209875,920.5557747209875,-428.0552017420798
25,0.0,657.3827015260176,6,0.0,1854.970630505474,162.93832237351535,960.7925703926454,1854.970630505474,6,25,120000,657.3827015260176,960.7925703926454,960.7925703926454,960.7925703926454,162.93832237351535
25,0.0,497.42152636585337,7,0.0,2296.6254288607693,-351.29458467112045,1786.363725490505,2296.6254288607693,7,25,130000,497.42152636585337,1786.363725490505,1786.3637254905052,1786.3637254905052,-351.29458467112045
25,0.0,551.5121443801829,8,0.0,2731.2253201157473,-95.38749305070266,2199.770039723276,2731.2253201157473,8,25,140000,551.5121443801829,2199.770039723276,2199.770039723276,2199.770039723276,-95.38749305070266
25,0.0,273.2701314150083,9,0.0,2914.841392040572,1738.857933014395,2568.010879754793,2914.841392040572,9,25,150000,273.2701314150083,2568.010879754793,2568.0108797547928,2568.0108797547928,1738.857933014395
25,0.0,802.7623169149939,10,0.0,3550.69013308959,476.11773235412403,2543.090383783372,3550.69013308959,10,25,160000,802.7623169149939,2543.090383783372,2543.090383783373,2543.090383783373,476.11773235412403
25,0.0,580.7580492523375,11,0.0,3567.937529241122,1122.7989181288142,2869.6274408089917,3567.937529241122,11,25,170000,580.7580492523375,2869.6274408089917,2869.6274408089917,2869.6274408089917,1122.7989181288142
25,0.0,506.0718913661025,12,0.0,3716.7598786732374,1186.6703445804874,3112.9863729615213,3716.7598786732374,12,25,180000,506.0718913661025,3112.9863729615213,3112.9863729615217,3112.9863729615217,1186.6703445804874
25,0.0,810.9172613454077,13,0.0,4127.7283622412015,539.999100493831,3430.7580457951262,4127.7283622412015,13,25,190000,810.9172613454077,3430.7580457951262,3430.7580457951267,3430.7580457951267,539.999100493831
25,0.0,753.108766881588,14,0.0,4154.093112966778,836.5866328010313,3447.468730905624,4154.093112966778,14,25,200000,753.108766881588,3447.468730905624,3447.468730905624,3447.468730905624,836.5866328010313
25,0.0,839.4272590909001,15,0.0,4861.228077454253,419.0523793334497,3746.2374051850366,4861.228077454253,15,25,210000,839.4272590909001,3746.2374051850366,3746.237405185035,3746.237405185035,419.0523793334497
25,0.0,386.6222238890913,16,0.0,4848.8818505121335,3501.125862079156,4138.852176354297,4848.8818505121335,16,25,220000,386.6222238890913,4138.852176354297,4138.852176354297,4138.852176354297,3501.125862079156
25,0.0,755.5487127468512,17,0.0,5341.407528508555,1168.924174903029,4372.217079723862,5341.407528508555,17,25,230000,755.5487127468512,4372.217079723862,4372.217079723864,4372.217079723864,1168.924174903029
25,0.0,630.30660291924,18,0.0,5259.890487909528,2370.4025344544625,4456.342646613468,5259.890487909528,18,25,240000,630.30660291924,4456.342646613468,4456.342646613467,4456.342646613467,2370.4025344544625
25,0.0,1258.202876563349,19,0.0,5691.566644035602,415.71155740612323,4383.814538155673,5691.566644035602,19,25,250000,1258.202876563349,4383.814538155673,4383.814538155673,4383.814538155673,415.71155740612323
25,0.0,853.3149157552457,20,0.0,5620.278553586949,1324.0249562853337,4572.325357099154,5620.278553586949,20,25,260000,853.3149157552457,4572.325357099154,4572.325357099155,4572.325357099155,1324.0249562853337
25,0.0,409.8814463600455,21,0.0,6138.371045169882,4466.920172684443,5178.44118869724,6138.371045169882,21,25,270000,409.8814463600455,5178.44118869724,5178.441188697243,5178.441188697243,4466.920172684443
25,0.0,832.234957784821,22,0.0,5721.728552180216,1437.2359293180534,4858.426122594915,5721.728552180216,22,25,280000,832.234957784821,4858.426122594915,4858.426122594917,4858.426122594917,1437.2359293180534
25,0.0,1136.168341211553,23,0.0,6222.397299829082,1245.1491099427274,5079.4529340560985,6222.397299829082,23,25,290000,1136.168341211553,5079.4529340560985,5079.452934056099,5079.452934056099,1245.1491099427274
25,0.0,1503.1939338242594,24,0.0,6084.852023840157,-221.31096897647944,4891.690477352513,6084.852023840157,24,25,300000,1503.1939338242594,4891.690477352513,4891.690477352511,4891.690477352511,-221.31096897647944
25,0.0,558.6865287864084,25,0.0,6278.57152262742,3771.201488876486,5293.507781778208,6278.57152262742,25,25,310000,558.6865287864084,5293.507781778208,5293.5077817782085,5293.5077817782085,3771.201488876486
25,0.0,1007.2112489619597,26,0.0,6547.255427430459,2150.591442361001,5453.588074535658,6547.255427430459,26,25,320000,1007.2112489619597,5453.588074535658,5453.588074535656,5453.588074535656,2150.591442361001
25,0.0,537.8305934599392,27,0.0,6773.498419101088,4757.978193338835,5826.147548078093,6773.498419101088,27,25,330000,537.8305934599392,5826.147548078093,5826.147548078096,5826.147548078096,4757.978193338835
25,0.0,497.26922359480744,28,0.0,6713.391061391908,4907.858010917633,5766.451689838715,6713.391061391908,28,25,340000,497.26922359480744,5766.451689838715,5766.451689838714,5766.451689838714,4907.858010917633
