MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn
124,181.25035078020426,124,181.25035078020426,44.6093074440745,326.6781729360156,1080.6722570793613,326.6781729360156,1080.6722570793613,326.67817293601564,36,1.0,44.6093074440745,354268,1.0,36,326.67817293601564
113,218.9772967225828,113,218.9772967225828,21.728964058157135,365.6399438653126,1229.141319214828,365.6399438653126,1229.141319214828,365.6399438653126,37,1.0,21.728964058157135,363360,1.0,37,365.6399438653126
121,160.29069400509556,121,160.29069400509556,-25.999191342314003,332.20537311647325,888.7077967009761,332.20537311647325,888.7077967009761,332.20537311647314,38,1.0,-25.999191342314003,372096,1.0,38,332.20537311647314
144,156.2153279554714,144,156.2153279554714,-44.24025440835643,283.7914795348018,837.3761646515477,283.7914795348018,837.3761646515477,283.7914795348018,39,1.0,-44.24025440835643,380679,1.0,39,283.7914795348018
157,187.46611206246672,157,187.46611206246672,46.42492968094612,311.1336623303808,886.2404382817386,311.1336623303808,886.2404382817386,311.1336623303808,40,1.0,46.42492968094612,389066,1.0,40,311.1336623303808
150,151.0306975653872,150,151.0306975653872,43.72954264145769,321.7758846069272,709.1514051798968,321.7758846069272,709.1514051798968,321.7758846069272,41,1.0,43.72954264145769,397571,1.0,41,321.7758846069272
173,160.20976119572526,173,160.20976119572526,43.873577280953654,295.37614054910125,963.3095502427492,295.37614054910125,963.3095502427492,295.37614054910125,42,1.0,43.873577280953654,405407,1.0,42,295.37614054910125
164,169.4531921088014,164,169.4531921088014,17.12005356502194,339.8397416950364,1136.7468356420018,339.8397416950364,1136.7468356420018,339.8397416950365,43,1.0,17.12005356502194,414060,1.0,43,339.8397416950365
179,154.66297466419985,179,154.66297466419985,9.302424790160353,309.79081949585304,901.4620137687253,309.79081949585304,901.4620137687253,309.790819495853,44,1.0,9.302424790160353,422737,1.0,44,309.790819495853
182,132.4689332085151,182,132.4689332085151,17.0539089823593,291.05074730008084,958.3939557756521,291.05074730008084,958.3939557756521,291.05074730008084,45,1.0,17.0539089823593,431523,1.0,45,291.05074730008084
