MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn
153,1.0,319.4898391475766,1572.0936721432383,45,519.3992312003398,153,45,319.4898391475766,1.0,417102,106.74400185665868,1572.0936721432383,106.74400185665868,519.3992312003398,519.3992312003398,519.3992312003398
146,1.0,145.75331492416396,1007.6945574319374,46,579.8395147827167,146,46,145.75331492416396,1.0,425124,287.31957793997447,1007.6945574319374,287.31957793997447,579.8395147827167,579.8395147827167,579.8395147827167
131,1.0,157.80970292253588,999.0363669855709,47,656.6442297657364,131,47,157.80970292253588,1.0,433521,116.09407046334329,999.0363669855709,116.09407046334329,656.6442297657364,656.6442297657364,656.6442297657364
139,1.0,199.3313334174781,1037.1959217980034,48,636.6552904014687,139,48,199.3313334174781,1.0,442007,136.05904239635316,1037.1959217980034,136.05904239635316,636.6552904014686,636.6552904014687,636.6552904014686
145,1.0,133.1650526773287,976.4107512502544,49,624.5307948559545,145,49,133.1650526773287,1.0,450213,301.8470559371946,976.4107512502544,301.8470559371946,624.5307948559545,624.5307948559545,624.5307948559545
151,1.0,239.69806622020056,1181.3931073775677,50,603.2313396132554,151,50,239.69806622020056,1.0,458675,56.969765168871106,1181.3931073775677,56.969765168871106,603.2313396132554,603.2313396132554,603.2313396132554
146,1.0,171.09231382608772,1036.0246061020744,51,614.0539815261586,146,51,171.09231382608772,1.0,467190,124.66289021228398,1036.0246061020744,124.66289021228398,614.0539815261586,614.0539815261586,614.0539815261586
147,1.0,180.21516348848945,1249.4832761378784,52,594.4810592647716,147,52,180.21516348848945,1.0,475997,199.41818099479033,1249.4832761378784,199.41818099479033,594.4810592647718,594.4810592647716,594.4810592647718
126,1.0,147.91766295555158,1303.252093959917,53,734.6864206077696,126,53,147.91766295555158,1.0,483760,128.50057900045275,1303.252093959917,128.50057900045275,734.6864206077695,734.6864206077696,734.6864206077695
129,1.0,108.05730575629511,1000.2591776792898,54,672.0129120152501,129,54,108.05730575629511,1.0,492318,401.45584760110506,1000.2591776792898,401.45584760110506,672.0129120152501,672.0129120152501,672.0129120152501
153,1.0,280.5179975686772,1242.1301761871289,55,569.7057625405415,153,55,280.5179975686772,1.0,501290,122.78019446170462,1242.1301761871289,122.78019446170462,569.7057625405415,569.7057625405415,569.7057625405415
126,0.9920634920634921,331.78118681958176,3249.2322272270985,56,752.9459571284391,126,56,331.78118681958176,0.9920634920634921,509869,406.7102140220869,3249.2322272270985,406.7102140220869,752.945957128439,752.9459571284391,752.945957128439
125,0.992,342.34810572478955,3244.286752513008,57,768.0078013951902,125,57,342.34810572478955,0.992,518883,368.9840196510386,3244.286752513008,368.9840196510386,768.0078013951901,768.0078013951902,768.0078013951901
107,1.0,329.4888789100478,2459.1595135476923,58,862.1823209021767,107,58,329.4888789100478,1.0,528592,148.98340122290597,2459.1595135476923,148.98340122290597,862.1823209021769,862.1823209021767,862.1823209021769
117,1.0,315.1659456141624,2251.659616141217,59,822.450030387142,117,59,315.1659456141624,1.0,538091,131.55301896419735,2251.659616141217,131.55301896419735,822.4500303871419,822.450030387142,822.4500303871419
117,0.9914529914529915,480.4207669339151,3145.542090018715,60,819.2627189767873,117,60,480.4207669339151,0.9914529914529915,546803,127.62122755052785,3145.542090018715,127.62122755052785,819.2627189767873,819.2627189767873,819.2627189767873
114,0.956140350877193,625.1674323828541,3208.1889384450224,61,807.5927215745621,114,61,625.1674323828541,0.956140350877193,555776,256.78407286250973,3208.1889384450224,256.78407286250973,807.5927215745619,807.5927215745621,807.5927215745619
115,0.9478260869565217,689.3835905389757,3201.231949626152,62,864.7749381271784,115,62,689.3835905389757,0.9478260869565217,564679,126.74393286292165,3201.231949626152,126.74393286292165,864.7749381271783,864.7749381271784,864.7749381271783
98,0.8775510204081632,873.5739950436614,3153.0183272951026,63,1026.7550356259205,98,63,873.5739950436614,0.8775510204081632,574679,120.61550260070845,3153.0183272951026,120.61550260070845,1026.7550356259205,1026.7550356259205,1026.7550356259205
81,0.7777777777777778,1098.1674159893366,3164.1380705447637,64,1206.505473109685,81,64,1098.1674159893366,0.7777777777777778,584379,130.60859075123457,3164.1380705447637,130.60859075123457,1206.505473109685,1206.505473109685,1206.505473109685
263,1.0,287.5332865402537,1693.765084704193,65,265.4506353670673,263,65,287.5332865402537,1.0,594338,113.28996483096783,1693.765084704193,113.28996483096783,265.45063536706726,265.4506353670673,265.45063536706726
83,0.927710843373494,735.3546146291405,3289.2915945115537,66,1223.7999731893692,83,66,735.3546146291405,0.927710843373494,604487,505.8783735979083,3289.2915945115537,505.8783735979083,1223.7999731893697,1223.7999731893692,1223.7999731893697
107,1.0,300.0845098500106,2092.6288358522534,67,908.5396909982784,107,67,300.0845098500106,1.0,613230,514.9118589105174,2092.6288358522534,514.9118589105174,908.5396909982784,908.5396909982784,908.5396909982784
60,0.7833333333333333,897.9051304441708,3216.6113309752445,68,1667.4024417830803,60,68,897.9051304441708,0.7833333333333333,622200,511.37169116704916,3216.6113309752445,511.37169116704916,1667.4024417830808,1667.4024417830803,1667.4024417830808
45,0.6222222222222222,914.9568341442581,3225.3073600469343,69,2264.94692087231,45,69,914.9568341442581,0.6222222222222222,631180,617.3910502841692,3225.3073600469343,617.3910502841692,2264.94692087231,2264.94692087231,2264.94692087231
85,0.9647058823529412,674.67165705642,3220.645264984282,70,1153.212761186873,85,70,674.67165705642,0.9647058823529412,640717,255.7740305391743,3220.645264984282,255.7740305391743,1153.212761186873,1153.212761186873,1153.212761186873
72,0.9444444444444444,695.4938121084142,3295.894340990205,71,1412.4850784974599,72,71,695.4938121084142,0.9444444444444444,649644,616.7508405701534,3295.894340990205,616.7508405701534,1412.4850784974603,1412.4850784974599,1412.4850784974603
94,0.9893617021276596,584.796074717054,3205.621568874583,72,1004.0869776691128,94,72,584.796074717054,0.9893617021276596,660760,412.436958764482,3205.621568874583,412.436958764482,1004.0869776691128,1004.0869776691128,1004.0869776691128
115,1.0,313.03463955240466,2419.5355888707622,73,851.5479911493701,115,73,313.03463955240466,1.0,670851,437.8046809289958,2419.5355888707622,437.8046809289958,851.5479911493701,851.5479911493701,851.5479911493701
116,0.9913793103448276,325.9651215314701,3373.6581506531134,74,815.871831045611,116,74,325.9651215314701,0.9913793103448276,680697,460.9584809523366,3373.6581506531134,460.9584809523366,815.871831045611,815.871831045611,815.871831045611
129,1.0,230.41372944388516,2226.565678444042,75,701.3383385929685,129,75,230.41372944388516,1.0,691589,391.19377190769455,2226.565678444042,391.19377190769455,701.3383385929685,701.3383385929685,701.3383385929685
129,1.0,96.56953017067751,1182.3753517972746,76,708.1058040290469,129,76,96.56953017067751,1.0,699984,519.1860506745165,1182.3753517972746,519.1860506745165,708.1058040290469,708.1058040290469,708.1058040290469
136,1.0,234.42780418687568,2639.37200024687,77,671.986188133716,136,77,234.42780418687568,1.0,710108,258.2368196193294,2639.37200024687,258.2368196193294,671.986188133716,671.986188133716,671.986188133716
149,1.0,103.76342981363817,919.5164632122007,78,609.2384014185565,149,78,103.76342981363817,1.0,720562,81.7099992380681,919.5164632122007,81.7099992380681,609.2384014185565,609.2384014185565,609.2384014185565
141,1.0,114.5257511822989,1075.3176500830655,79,662.9484339242488,141,79,114.5257511822989,1.0,730892,181.18364154130242,1075.3176500830655,181.18364154130242,662.9484339242488,662.9484339242488,662.9484339242488
137,1.0,144.54507330055768,1100.751133609987,80,684.2558835071499,137,80,144.54507330055768,1.0,740655,333.2381460190808,1100.751133609987,333.2381460190808,684.2558835071499,684.2558835071499,684.2558835071499
171,1.0,127.26594568334042,731.6252691899643,81,508.578529113463,171,81,127.26594568334042,1.0,751419,346.80990237845197,731.6252691899643,346.80990237845197,508.578529113463,508.578529113463,508.578529113463
138,1.0,94.54651274915614,823.6179074856086,82,655.5005858602711,138,82,94.54651274915614,1.0,760371,179.62853473475627,823.6179074856086,179.62853473475627,655.5005858602713,655.5005858602711,655.5005858602713
127,1.0,97.83987624461375,1073.9896628576898,83,745.0161867078903,127,83,97.83987624461375,1.0,769593,454.69961559014286,1073.9896628576898,454.69961559014286,745.0161867078904,745.0161867078903,745.0161867078904
134,1.0,100.64180530441769,1049.5943096156604,84,720.7145733774888,134,84,100.64180530441769,1.0,779099,480.037470784092,1049.5943096156604,480.037470784092,720.7145733774888,720.7145733774888,720.7145733774888
133,1.0,90.78615577112969,1040.8019155289267,85,702.6062764915116,133,85,90.78615577112969,1.0,789433,482.4229370995391,1040.8019155289267,482.4229370995391,702.6062764915117,702.6062764915116,702.6062764915117
135,1.0,110.2154390974415,964.0196123972272,86,713.4242412850767,135,86,110.2154390974415,1.0,799014,453.53381098043104,964.0196123972272,453.53381098043104,713.4242412850767,713.4242412850767,713.4242412850767
130,1.0,118.99939779070442,1069.8034424889133,87,702.9259160953225,130,87,118.99939779070442,1.0,810453,519.5212687248355,1069.8034424889133,519.5212687248355,702.9259160953223,702.9259160953225,702.9259160953223
125,1.0,177.73768628126865,1755.91480239564,88,730.4940252081327,125,88,177.73768628126865,1.0,819497,520.5991228144198,1755.91480239564,520.5991228144198,730.4940252081326,730.4940252081327,730.4940252081326
118,1.0,72.43831245217534,1005.7838826680894,89,806.8288548282919,118,89,72.43831245217534,1.0,828632,661.3243807671688,1005.7838826680894,661.3243807671688,806.8288548282919,806.8288548282919,806.8288548282919
