TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate
175162,107.0,723.2307692307693,330.03476596498456,16,0.5384615384615384,1000.0,13,330.03476596498456,1000.0,723.2307692307693,107.0,16,723.2307692307693,13,723.2307692307693,0.5384615384615384
185319,207.0,911.8888888888889,249.21585665819208,17,0.1111111111111111,1000.0,9,249.21585665819208,1000.0,911.8888888888889,207.0,17,911.8888888888889,9,911.8888888888889,0.1111111111111111
194850,107.0,877.9,264.9824333800262,18,0.3,1000.0,10,264.9824333800262,1000.0,877.9,107.0,18,877.9,10,877.9,0.3
204802,20.0,646.1538461538462,400.42820275566277,19,0.46153846153846156,1000.0,13,400.42820275566277,1000.0,646.1538461538462,20.0,19,646.1538461538462,13,646.1538461538462,0.46153846153846156
215324,32.0,793.25,323.31876041042426,20,0.5,1000.0,12,323.31876041042426,1000.0,793.25,32.0,20,793.25,12,793.25,0.5
226520,99.0,818.6666666666666,292.44467662942486,21,0.4166666666666667,1000.0,12,292.44467662942486,1000.0,818.6666666666666,99.0,21,818.6666666666666,12,818.6666666666666,0.4166666666666667
236511,109.0,808.6363636363636,321.3820362483574,22,0.2727272727272727,1000.0,11,321.3820362483574,1000.0,808.6363636363636,109.0,22,808.6363636363636,11,808.6363636363636,0.2727272727272727
245633,117.0,715.0,306.28954555173067,23,0.5714285714285714,1000.0,14,306.28954555173067,1000.0,715.0,117.0,23,715.0,14,715.0,0.5714285714285714
257761,160.0,864.7,280.30485190235294,24,0.2,1000.0,10,280.30485190235294,1000.0,864.7,160.0,24,864.7,10,864.7,0.2
267505,108.0,900.8888888888889,280.32855503040014,25,0.1111111111111111,1000.0,9,280.32855503040014,1000.0,900.8888888888889,108.0,25,900.8888888888889,9,900.8888888888889,0.1111111111111111
277216,187.0,816.8333333333334,315.75539935561227,26,0.3333333333333333,1000.0,12,315.75539935561227,1000.0,816.8333333333334,187.0,26,816.8333333333334,12,816.8333333333334,0.3333333333333333
287570,1000.0,1000.0,0.0,27,0.0,1000.0,8,0.0,1000.0,1000.0,1000.0,27,1000.0,8,1000.0,0.0
298192,833.0,981.4444444444445,52.4830366480682,28,0.1111111111111111,1000.0,9,52.4830366480682,1000.0,981.4444444444445,833.0,28,981.4444444444445,9,981.4444444444445,0.1111111111111111
308734,21.0,615.9285714285714,428.5637915986228,29,0.5,1000.0,14,428.5637915986228,1000.0,615.9285714285714,21.0,29,615.9285714285714,14,615.9285714285714,0.5
318243,79.0,651.6923076923077,398.23811675068987,30,0.46153846153846156,1000.0,13,398.23811675068987,1000.0,651.6923076923077,79.0,30,651.6923076923077,13,651.6923076923077,0.46153846153846156
327820,261.0,725.8666666666667,329.4759205499276,31,0.4666666666666667,1000.0,15,329.4759205499276,1000.0,725.8666666666667,261.0,31,725.8666666666667,15,725.8666666666667,0.4666666666666667
337889,59.0,476.05263157894734,382.8375323518912,32,0.7368421052631579,1000.0,19,382.8375323518912,1000.0,476.05263157894734,59.0,32,476.05263157894734,19,476.05263157894734,0.7368421052631579
349625,1000.0,1000.0,0.0,33,0.0,1000.0,8,0.0,1000.0,1000.0,1000.0,33,1000.0,8,1000.0,0.0
358841,69.0,693.0,334.1440557603861,34,0.5625,1000.0,16,334.1440557603861,1000.0,693.0,69.0,34,693.0,16,693.0,0.5625
369425,104.0,770.2727272727273,328.7242809598372,35,0.36363636363636365,1000.0,11,328.7242809598372,1000.0,770.2727272727273,104.0,35,770.2727272727273,11,770.2727272727273,0.36363636363636365
378487,279.0,890.3333333333334,231.50617942316595,36,0.2222222222222222,1000.0,9,231.50617942316595,1000.0,890.3333333333334,279.0,36,890.3333333333334,9,890.3333333333334,0.2222222222222222
388487,142.0,661.6666666666666,332.5867639512366,37,0.5333333333333333,1000.0,15,332.5867639512366,1000.0,661.6666666666666,142.0,37,661.6666666666666,15,661.6666666666666,0.5333333333333333
397924,147.0,704.1666666666666,366.6310209946174,38,0.4166666666666667,1000.0,12,366.6310209946174,1000.0,704.1666666666666,147.0,38,704.1666666666666,12,704.1666666666666,0.4166666666666667
408035,130.0,734.0,323.56452215902783,39,0.5384615384615384,1000.0,13,323.56452215902783,1000.0,734.0,130.0,39,734.0,13,734.0,0.5384615384615384
418316,73.0,576.0,332.5781862960949,40,0.75,1000.0,16,332.5781862960949,1000.0,576.0,73.0,40,576.0,16,576.0,0.75
428090,133.0,766.1538461538462,322.59377793461886,41,0.46153846153846156,1000.0,13,322.59377793461886,1000.0,766.1538461538462,133.0,41,766.1538461538462,13,766.1538461538462,0.46153846153846156
