MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn
46.368778205647985,1.0,1.6900238395981468,35.71791916074687,46.368778205647985,0,0,35.71791916074687,40.19813368828358,1.0,40.198133688283576,1097,1097,57225,1.6900238395981468,40.198133688283576,40.19813368828358
190.79040714006373,1.0,5.169335027105321,151.162021757351,190.79040714006373,1,1,151.162021757351,172.79816093074191,1.0,172.79816093074191,310,310,64371,5.169335027105321,172.79816093074191,172.79816093074191
260.7560430914997,1.0,11.06618629182302,191.7649942213791,260.7560430914997,2,2,191.7649942213791,231.05399954905067,1.0,231.05399954905067,205,205,71689,11.06618629182302,231.05399954905067,231.05399954905067
311.57398779412216,1.0,13.320420807483146,207.9503080716617,311.57398779412216,3,3,207.9503080716617,247.0720456368637,1.0,247.0720456368637,247,247,79128,13.320420807483146,247.0720456368637,247.0720456368637
564.9107476223888,1.0,49.81482122207825,173.52990505789253,564.9107476223888,4,4,173.52990505789253,338.342257754398,1.0,338.342257754398,167,167,86847,49.81482122207825,338.342257754398,338.342257754398
806.4477045166005,1.0,124.44169211859354,37.62987734923311,806.4477045166005,5,5,37.62987734923311,190.18448781579798,1.0,190.18448781579798,241,241,94669,124.44169211859354,190.18448781579798,190.18448781579798
977.4015445458846,1.0,165.32586772244176,165.71565570171234,977.4015445458846,6,6,165.71565570171234,403.24864760954773,1.0,403.2486476095477,135,135,102394,165.32586772244176,403.2486476095477,403.24864760954773
940.3233316979806,1.0,141.03838095906954,129.402432066926,940.3233316979806,7,7,129.402432066926,300.88396871111956,1.0,300.88396871111956,186,186,110771,141.03838095906954,300.88396871111956,300.88396871111956
450.2972774952379,1.0,57.34838776278712,76.23858763271531,450.2972774952379,8,8,76.23858763271531,260.845962467686,1.0,260.845962467686,231,231,118517,57.34838776278712,260.845962467686,260.845962467686
672.3480570758655,1.0,68.26855921825748,243.0540249252296,672.3480570758655,9,9,243.0540249252296,312.51241830337733,1.0,312.5124183033772,185,185,126260,68.26855921825748,312.5124183033772,312.51241830337733
309.07002159938776,1.0,18.11134620266304,202.79489695211038,309.07002159938776,10,10,202.79489695211038,251.91489601936655,1.0,251.9148960193665,231,231,134377,18.11134620266304,251.9148960193665,251.91489601936655
222.2361985856484,1.0,7.985384053201172,153.84477110239683,222.2361985856484,11,11,153.84477110239683,202.92239239942137,1.0,202.9223923994214,276,276,142050,7.985384053201172,202.9223923994214,202.92239239942137
270.79795517548087,1.0,17.88687000587475,183.26947238465627,270.79795517548087,12,12,183.26947238465627,225.24973301851244,1.0,225.24973301851244,267,267,149584,17.88687000587475,225.24973301851244,225.24973301851244
281.2968289144509,1.0,27.824256009944534,149.78892242523878,281.2968289144509,13,13,149.78892242523878,238.76464608242983,1.0,238.7646460824298,259,259,157033,27.824256009944534,238.7646460824298,238.76464608242983
316.08073275537004,1.0,21.997241063052606,235.25319939122787,316.08073275537004,14,14,235.25319939122787,272.9136364429349,1.0,272.9136364429349,227,227,164529,21.997241063052606,272.9136364429349,272.9136364429349
512.8503524014036,1.0,57.640342655135804,246.94803128761274,512.8503524014036,15,15,246.94803128761274,327.6036266934045,1.0,327.6036266934045,197,197,172009,57.640342655135804,327.6036266934045,327.6036266934045
493.8312900900242,1.0,73.35810739148208,46.12549082060888,493.8312900900242,16,16,46.12549082060888,261.2310916931099,1.0,261.2310916931098,241,241,179404,73.35810739148208,261.2310916931098,261.2310916931099
584.9715722097293,1.0,78.75512391693412,200.93344669802866,584.9715722097293,17,17,200.93344669802866,388.8045959704834,1.0,388.8045959704834,193,193,187146,78.75512391693412,388.8045959704834,388.8045959704834
799.8945277660479,1.0,61.813505944640546,298.13671423461966,799.8945277660479,18,18,298.13671423461966,643.4290426993662,1.0,643.4290426993662,129,129,194916,61.813505944640546,643.4290426993662,643.4290426993662
793.3245829062882,1.0,71.94131310166533,333.0697737355643,793.3245829062882,19,19,333.0697737355643,596.6275609897527,1.0,596.6275609897526,134,134,202948,71.94131310166533,596.6275609897526,596.6275609897527
