MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/Iteration
14.376248753723821,42.30051813471503,7.0,105.0,1.0,193,14.376248753723821,42.30051813471503,7.0,1.0,193,105.0,42.30051813471503,23057,42.30051813471503,0,0
31.178248154496025,75.54128440366972,8.0,185.0,1.0,109,31.178248154496025,75.54128440366972,8.0,1.0,109,185.0,75.54128440366972,30274,75.54128440366972,1,1
22.912220099057947,72.88695652173914,42.0,150.0,1.0,115,22.912220099057947,72.88695652173914,42.0,1.0,115,150.0,72.88695652173914,37911,72.88695652173914,2,2
26.641039224512998,76.12844036697248,14.0,221.0,1.0,109,26.641039224512998,76.12844036697248,14.0,1.0,109,221.0,76.12844036697248,45293,76.12844036697248,3,3
181.19331948217703,160.6551724137931,26.0,1000.0,0.9827586206896551,58,181.19331948217703,160.6551724137931,26.0,0.9827586206896551,58,1000.0,160.6551724137931,52897,160.6551724137931,4,4
238.08393775266808,160.44642857142858,23.0,1000.0,0.9642857142857143,56,238.08393775266808,160.44642857142858,23.0,0.9642857142857143,56,1000.0,160.44642857142858,61565,160.44642857142858,5,5
279.79874047229134,288.57575757575756,41.0,1000.0,0.9090909090909091,33,279.79874047229134,288.57575757575756,41.0,0.9090909090909091,33,1000.0,288.57575757575756,71877,288.57575757575756,6,6
383.57519326579103,604.2666666666667,126.0,1000.0,0.5333333333333333,15,383.57519326579103,604.2666666666667,126.0,0.5333333333333333,15,1000.0,604.2666666666667,82278,604.2666666666667,7,7
297.11989734522575,302.78125,19.0,1000.0,0.9375,32,297.11989734522575,302.78125,19.0,0.9375,32,1000.0,302.78125,93272,302.78125,8,8
0.0,1000.0,1000.0,1000.0,0.0,8,0.0,1000.0,1000.0,0.0,8,1000.0,1000.0,103696,1000.0,9,9
419.9946886111043,616.0,4.0,1000.0,0.46153846153846156,13,419.9946886111043,616.0,4.0,0.46153846153846156,13,1000.0,616.0,114208,616.0,10,10
353.37086952459936,292.0,9.0,1000.0,0.8285714285714286,35,353.37086952459936,292.0,9.0,0.8285714285714286,35,1000.0,292.0,124680,292.0,11,11
377.14466556671874,571.1111111111111,32.0,1000.0,0.7222222222222222,18,377.14466556671874,571.1111111111111,32.0,0.7222222222222222,18,1000.0,571.1111111111111,135948,571.1111111111111,12,12
238.7875019224837,822.7272727272727,373.0,1000.0,0.45454545454545453,11,238.7875019224837,822.7272727272727,373.0,0.45454545454545453,11,1000.0,822.7272727272727,145668,822.7272727272727,13,13
311.3087856132557,857.2,9.0,1000.0,0.2,10,311.3087856132557,857.2,9.0,0.2,10,1000.0,857.2,155933,857.2,14,14
306.66079018467036,784.0769230769231,6.0,1000.0,0.46153846153846156,13,306.66079018467036,784.0769230769231,6.0,0.46153846153846156,13,1000.0,784.0769230769231,166184,784.0769230769231,15,15
144.58958731641286,918.8181818181819,543.0,1000.0,0.36363636363636365,11,144.58958731641286,918.8181818181819,543.0,0.36363636363636365,11,1000.0,918.8181818181819,175456,918.8181818181819,16,16
445.79182080877166,445.95,46.0,1000.0,0.65,20,445.79182080877166,445.95,46.0,0.65,20,1000.0,445.95,186432,445.95,17,17
271.7838111440782,871.6,159.0,1000.0,0.2,10,271.7838111440782,871.6,159.0,0.2,10,1000.0,871.6,196432,871.6,18,18
249.87484867429137,839.6,194.0,1000.0,0.4,10,249.87484867429137,839.6,194.0,0.4,10,1000.0,839.6,207137,839.6,19,19
442.83521166609825,447.55555555555554,19.0,1000.0,0.6111111111111112,18,442.83521166609825,447.55555555555554,19.0,0.6111111111111112,18,1000.0,447.55555555555554,218125,447.55555555555554,20,20
229.96660421299097,873.7692307692307,300.0,1000.0,0.38461538461538464,13,229.96660421299097,873.7692307692307,300.0,0.38461538461538464,13,1000.0,873.7692307692307,227749,873.7692307692307,21,21
421.2039041709952,629.0666666666667,4.0,1000.0,0.5333333333333333,15,421.2039041709952,629.0666666666667,4.0,0.5333333333333333,15,1000.0,629.0666666666667,237566,629.0666666666667,22,22
396.19817712295895,578.2666666666667,46.0,1000.0,0.6,15,396.19817712295895,578.2666666666667,46.0,0.6,15,1000.0,578.2666666666667,247413,578.2666666666667,23,23
252.1357814123791,191.06521739130434,7.0,1000.0,0.9347826086956522,46,252.1357814123791,191.06521739130434,7.0,0.9347826086956522,46,1000.0,191.06521739130434,257670,191.06521739130434,24,24
367.0902215658036,694.0,154.0,1000.0,0.46153846153846156,13,367.0902215658036,694.0,154.0,0.46153846153846156,13,1000.0,694.0,267929,694.0,25,25
256.97851185567157,159.33333333333334,3.0,1000.0,0.95,60,256.97851185567157,159.33333333333334,3.0,0.95,60,1000.0,159.33333333333334,278436,159.33333333333334,26,26
310.79089021531564,163.55769230769232,3.0,1000.0,0.8846153846153846,52,310.79089021531564,163.55769230769232,3.0,0.8846153846153846,52,1000.0,163.55769230769232,288563,163.55769230769232,27,27
436.0432251679597,367.1818181818182,3.0,1000.0,0.6818181818181818,22,436.0432251679597,367.1818181818182,3.0,0.6818181818181818,22,1000.0,367.1818181818182,298240,367.1818181818182,28,28
0.0,1000.0,1000.0,1000.0,0.0,8,0.0,1000.0,1000.0,0.0,8,1000.0,1000.0,308246,1000.0,29,29
370.04892597122443,244.7058823529412,3.0,1000.0,0.8235294117647058,34,370.04892597122443,244.7058823529412,3.0,0.8235294117647058,34,1000.0,244.7058823529412,319544,244.7058823529412,30,30
252.95688391340573,121.64179104477611,4.0,1000.0,0.9253731343283582,67,252.95688391340573,121.64179104477611,4.0,0.9253731343283582,67,1000.0,121.64179104477611,331515,121.64179104477611,31,31
400.67410588960547,378.0,12.0,1000.0,0.7391304347826086,23,400.67410588960547,378.0,12.0,0.7391304347826086,23,1000.0,378.0,342546,378.0,32,32
366.61396299062426,307.17241379310343,4.0,1000.0,0.8275862068965517,29,366.61396299062426,307.17241379310343,4.0,0.8275862068965517,29,1000.0,307.17241379310343,352425,307.17241379310343,33,33
0.0,1000.0,1000.0,1000.0,0.0,8,0.0,1000.0,1000.0,0.0,8,1000.0,1000.0,363767,1000.0,34,34
427.3065859161861,576.2857142857143,72.0,1000.0,0.5,14,427.3065859161861,576.2857142857143,72.0,0.5,14,1000.0,576.2857142857143,374121,576.2857142857143,35,35
