MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn
29,1000.0,34.0,29,1000.0,17,491.8235294117647,0.6470588235294118,424.73247431822824,34.0,17,0.6470588235294118,491.8235294117647,491.8235294117647,307010,491.8235294117647,424.73247431822824
30,1000.0,3.0,30,1000.0,62,138.43548387096774,0.9354838709677419,245.54183803328888,3.0,62,0.9354838709677419,138.43548387096774,138.43548387096774,317194,138.43548387096774,245.54183803328888
31,1000.0,3.0,31,1000.0,71,140.95774647887325,0.9154929577464789,292.1993548989668,3.0,71,0.9154929577464789,140.95774647887325,140.95774647887325,327859,140.95774647887325,292.1993548989668
32,1000.0,3.0,32,1000.0,60,146.71666666666667,0.9333333333333333,259.51108464872084,3.0,60,0.9333333333333333,146.71666666666667,146.71666666666667,338378,146.71666666666667,259.51108464872084
33,1000.0,2.0,33,1000.0,261,33.34099616858238,0.9846743295019157,136.6578725982113,2.0,261,0.9846743295019157,33.34099616858238,33.34099616858238,349170,33.34099616858238,136.6578725982113
34,1000.0,3.0,34,1000.0,116,73.25,0.9655172413793104,191.24757717644968,3.0,116,0.9655172413793104,73.25,73.25,359442,73.25,191.24757717644968
35,1000.0,3.0,35,1000.0,34,255.1764705882353,0.7941176470588235,383.2491487721819,3.0,34,0.7941176470588235,255.1764705882353,255.1764705882353,370270,255.1764705882353,383.2491487721819
36,1000.0,2.0,36,1000.0,196,47.42857142857143,0.9948979591836735,121.02828982835175,2.0,196,0.9948979591836735,47.42857142857143,47.42857142857143,380270,47.42857142857143,121.02828982835175
37,1000.0,3.0,37,1000.0,131,71.58015267175573,0.9847328244274809,167.63578086414276,3.0,131,0.9847328244274809,71.58015267175573,71.58015267175573,390056,71.58015267175573,167.63578086414276
38,1000.0,53.0,38,1000.0,10,854.5,0.2,307.11081062053154,53.0,10,0.2,854.5,854.5,402059,854.5,307.11081062053154
39,1000.0,35.0,39,1000.0,12,765.8333333333334,0.5,327.00403497340653,35.0,12,0.5,765.8333333333334,765.8333333333334,411949,765.8333333333334,327.00403497340653
