MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/MaxReturn
25,-230.8355894897917,-230.83558948979174,-230.8355894897917,60000,-150.6011562995918,0.0,25,-308.1437654691794,0.0,34.0204792676569,0,34.0204792676569,0,-230.83558948979174,-308.1437654691794,-150.6011562995918
25,-175.25897747573399,-175.25897747573399,-175.25897747573399,70000,-125.11668433514849,0.0,25,-204.20857664571426,0.0,23.713601367038674,1,23.713601367038674,1,-175.25897747573399,-204.20857664571426,-125.11668433514849
25,-106.39590605947048,-106.39590605947048,-106.39590605947048,80000,-11.82250448737158,0.0,25,-164.18389342232345,0.0,36.3269864886936,2,36.3269864886936,2,-106.39590605947048,-164.18389342232345,-11.82250448737158
25,-31.62651699290548,-31.626516992905472,-31.62651699290548,90000,47.00717653500593,0.0,25,-92.17753767478776,0.0,37.18316647301219,3,37.18316647301219,3,-31.626516992905472,-92.17753767478776,47.00717653500593
25,100.30880956562251,100.30880956562243,100.30880956562251,100000,444.89960710431944,0.0,25,-55.91040332315785,0.0,109.88262566809557,4,109.88262566809557,4,100.30880956562243,-55.91040332315785,444.89960710431944
25,526.9030752090373,526.9030752090371,526.9030752090373,110000,1551.3218106933048,0.0,25,11.392017206446775,0.0,464.43793819912275,5,464.43793819912275,5,526.9030752090371,11.392017206446775,1551.3218106933048
25,774.2053994882914,774.2053994882914,774.2053994882914,120000,1682.423335169631,0.0,25,-83.81022399215782,0.0,570.2050914464962,6,570.2050914464962,6,774.2053994882914,-83.81022399215782,1682.423335169631
25,1242.0263721492422,1242.0263721492413,1242.0263721492422,130000,1978.611531487041,0.0,25,103.99944875885913,0.0,597.0155615015658,7,597.0155615015658,7,1242.0263721492413,103.99944875885913,1978.611531487041
25,1439.1881303667253,1439.1881303667258,1439.1881303667253,140000,2463.597923274021,0.0,25,-169.4725264822572,0.0,836.6463163656348,8,836.6463163656348,8,1439.1881303667258,-169.4725264822572,2463.597923274021
25,1710.2105731839806,1710.210573183981,1710.2105731839806,150000,2905.7756753324957,0.0,25,-517.3850191390732,0.0,966.6620972257197,9,966.6620972257197,9,1710.210573183981,-517.3850191390732,2905.7756753324957
25,2354.736112888428,2354.7361128884286,2354.736112888428,160000,3121.00128743438,0.0,25,-386.48278286118483,0.0,788.3900355800328,10,788.3900355800328,10,2354.7361128884286,-386.48278286118483,3121.00128743438
25,2645.2446100947186,2645.2446100947204,2645.2446100947186,170000,3570.3219444597958,0.0,25,1312.8634237348524,0.0,525.739330597576,11,525.739330597576,11,2645.2446100947204,1312.8634237348524,3570.3219444597958
25,2817.9682017351824,2817.968201735184,2817.9682017351824,180000,3871.5966399136687,0.0,25,703.1832953288205,0.0,532.3782959641903,12,532.3782959641903,12,2817.968201735184,703.1832953288205,3871.5966399136687
25,2775.1913389696424,2775.1913389696424,2775.1913389696424,190000,3481.2401084277326,0.0,25,561.8433158324633,0.0,674.1504079675113,13,674.1504079675113,13,2775.1913389696424,561.8433158324633,3481.2401084277326
25,2856.0194211402845,2856.019421140283,2856.0194211402845,200000,3914.0674746110244,0.0,25,195.55264179799147,0.0,1029.984726523268,14,1029.984726523268,14,2856.019421140283,195.55264179799147,3914.0674746110244
25,3471.3343648493196,3471.33436484932,3471.3343648493196,210000,4404.340110022775,0.0,25,797.9931231556634,0.0,622.6467629735341,15,622.6467629735341,15,3471.33436484932,797.9931231556634,4404.340110022775
25,3657.3513013391266,3657.351301339127,3657.3513013391266,220000,4359.374664210959,0.0,25,1590.6993833535007,0.0,591.3595212171399,16,591.3595212171399,16,3657.351301339127,1590.6993833535007,4359.374664210959
25,3630.2609412771953,3630.260941277194,3630.2609412771953,230000,4479.309911933258,0.0,25,424.63662863715103,0.0,891.760966244214,17,891.760966244214,17,3630.260941277194,424.63662863715103,4479.309911933258
25,3573.4724742958456,3573.472474295844,3573.4724742958456,240000,4631.471136025365,0.0,25,590.8969775256782,0.0,856.3620483869747,18,856.3620483869747,18,3573.472474295844,590.8969775256782,4631.471136025365
25,3872.7922622766755,3872.7922622766755,3872.7922622766755,250000,4887.869167732028,0.0,25,768.9352144049177,0.0,1083.1986074424033,19,1083.1986074424033,19,3872.7922622766755,768.9352144049177,4887.869167732028
25,3959.3490911645667,3959.3490911645686,3959.3490911645667,260000,4845.106832434452,0.0,25,381.60008494277275,0.0,977.0101631835144,20,977.0101631835144,20,3959.3490911645686,381.60008494277275,4845.106832434452
25,3808.244667848338,3808.244667848338,3808.244667848338,270000,4785.979209665564,0.0,25,-187.03793309409448,0.0,1126.7828607998163,21,1126.7828607998163,21,3808.244667848338,-187.03793309409448,4785.979209665564
25,4347.197307558453,4347.197307558454,4347.197307558453,280000,5348.288186405384,0.0,25,1938.4471944889394,0.0,871.6079829104063,22,871.6079829104063,22,4347.197307558454,1938.4471944889394,5348.288186405384
25,4712.298233673239,4712.2982336732375,4712.298233673239,290000,5325.730245272405,0.0,25,3008.6499151648777,0.0,483.3094095974878,23,483.3094095974878,23,4712.2982336732375,3008.6499151648777,5325.730245272405
25,4413.659477210757,4413.6594772107555,4413.659477210757,300000,5623.36206770515,0.0,25,1637.3819055729975,0.0,1023.9659713410191,24,1023.9659713410191,24,4413.6594772107555,1637.3819055729975,5623.36206770515
25,4655.516376911237,4655.516376911237,4655.516376911237,310000,5872.870894829483,0.0,25,706.487730780969,0.0,1152.8494811167736,25,1152.8494811167736,25,4655.516376911237,706.487730780969,5872.870894829483
25,4914.478853593843,4914.478853593841,4914.478853593843,320000,6229.417116065318,0.0,25,2195.834919960789,0.0,948.1447101434761,26,948.1447101434761,26,4914.478853593841,2195.834919960789,6229.417116065318
25,4660.46930288806,4660.46930288806,4660.46930288806,330000,5944.894785170337,0.0,25,880.7374990233413,0.0,1371.091391963256,27,1371.091391963256,27,4660.46930288806,880.7374990233413,5944.894785170337
