MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn
1.0,37.60530862308205,101.65462457900975,187.60086622264353,322,187.60086622264353,132979,330.3993186717806,187.60086622264353,322,330.3993186717806,1.0,10,101.65462457900975,187.60086622264353,10,37.60530862308205
1.0,39.09071295784612,81.67687143566641,256.04811688120884,254,256.04811688120884,140455,335.6078664169583,256.0481168812088,254,335.6078664169583,1.0,11,81.67687143566641,256.0481168812088,11,39.09071295784612
1.0,64.54948335496775,34.70445880243358,269.67588236400996,241,269.67588236400996,148205,352.8033709861469,269.67588236400996,241,352.8033709861469,1.0,12,34.70445880243358,269.67588236400996,12,64.54948335496775
1.0,152.9817955281901,32.689261006534615,328.8895606223085,215,328.8895606223085,155716,397.1909026678025,328.8895606223085,215,397.1909026678025,1.0,13,32.689261006534615,328.8895606223085,13,152.9817955281901
1.0,238.81237519144756,34.76952781031294,288.72772304204835,230,288.72772304204835,164633,356.89304173753936,288.7277230420484,230,356.89304173753936,1.0,14,34.76952781031294,288.7277230420484,14,238.81237519144756
1.0,222.815268383778,64.84698741147344,324.7671842727046,219,324.7671842727046,171942,442.72768287626815,324.7671842727046,219,442.72768287626815,1.0,15,64.84698741147344,324.7671842727046,15,222.815268383778
1.0,235.1750674753839,19.88082740471309,305.98271392109336,225,305.98271392109336,179526,344.4409782491205,305.98271392109336,225,344.4409782491205,1.0,16,19.88082740471309,305.98271392109336,16,235.1750674753839
1.0,144.46555916338482,48.61296105137844,266.6556386725109,244,266.6556386725109,187210,373.84459301923766,266.6556386725109,244,373.84459301923766,1.0,17,48.61296105137844,266.6556386725109,17,144.46555916338482
1.0,148.20397067232747,74.34486062574115,263.424730632086,250,263.424730632086,194776,494.59257809089814,263.424730632086,250,494.59257809089814,1.0,18,74.34486062574115,263.424730632086,18,148.20397067232747
1.0,27.801632525648863,120.35335149074294,373.65987175561685,201,373.65987175561685,202341,631.9226321080779,373.65987175561685,201,631.9226321080779,1.0,19,120.35335149074294,373.65987175561685,19,27.801632525648863
1.0,97.8835851441211,89.38830435365566,403.03325662845316,190,403.03325662845316,210003,703.5059962183603,403.03325662845316,190,703.5059962183603,1.0,20,89.38830435365566,403.03325662845316,20,97.8835851441211
1.0,97.16105521830715,180.48079068819465,281.8059086649572,254,281.8059086649572,217731,624.9268815320053,281.8059086649572,254,624.9268815320053,1.0,21,180.48079068819465,281.8059086649572,21,97.16105521830715
1.0,92.36400470577354,213.5724960980371,394.57242688425197,203,394.57242688425197,225587,834.3393507049706,394.572426884252,203,834.3393507049706,1.0,22,213.5724960980371,394.572426884252,22,92.36400470577354
1.0,83.94977159114768,88.04050044556679,145.1430097449447,352,145.1430097449447,233251,784.658305885937,145.1430097449447,352,784.658305885937,1.0,23,88.04050044556679,145.1430097449447,23,83.94977159114768
1.0,184.31851664645447,56.94059255664998,247.6766206171267,224,247.6766206171267,241110,790.9273368611888,247.67662061712673,224,790.9273368611888,1.0,24,56.94059255664998,247.67662061712673,24,184.31851664645447
0.9595959595959596,65.99685150467234,732.6296339706433,861.4312619455915,99,861.4312619455915,248737,3020.2866349840874,861.4312619455912,99,3020.2866349840874,0.9595959595959596,25,732.6296339706433,861.4312619455912,25,65.99685150467234
1.0,87.27231204852866,215.8753604340016,459.10093305697256,167,459.10093305697256,258478,2432.355686602902,459.10093305697256,167,2432.355686602902,1.0,26,215.8753604340016,459.10093305697256,26,87.27231204852866
1.0,188.10901198916355,218.79509223105643,567.1597818918605,144,567.1597818918605,266056,1926.9176308524288,567.1597818918605,144,1926.9176308524288,1.0,27,218.79509223105643,567.1597818918605,27,188.10901198916355
1.0,246.44435951503087,92.51556423927019,461.2615623816192,170,461.2615623816192,274040,866.0746153125895,461.2615623816191,170,866.0746153125895,1.0,28,92.51556423927019,461.2615623816191,28,246.44435951503087
1.0,368.4545203327282,86.3978215701446,559.3518870547492,145,559.3518870547492,281948,850.7607588313814,559.3518870547493,145,850.7607588313814,1.0,29,86.3978215701446,559.3518870547493,29,368.4545203327282
1.0,354.0544165109325,58.360127754658386,538.0774738852783,151,538.0774738852783,290601,728.0106581461871,538.0774738852783,151,728.0106581461871,1.0,30,58.360127754658386,538.0774738852783,30,354.0544165109325
0.9882352941176471,557.8497443193387,370.9376544489779,980.2584661068736,85,980.2584661068736,299406,2710.86356693812,980.2584661068734,85,2710.86356693812,0.9882352941176471,31,370.9376544489779,980.2584661068734,31,557.8497443193387
1.0,459.9130807954081,72.50151209994813,629.0093085097456,132,629.0093085097456,309765,768.2143860205142,629.0093085097456,132,768.2143860205142,1.0,32,72.50151209994813,629.0093085097456,32,459.9130807954081
1.0,460.1128290497912,110.9115758276775,638.5206158600557,129,638.5206158600557,319395,1222.2865198461109,638.5206158600557,129,1222.2865198461109,1.0,33,110.9115758276775,638.5206158600557,33,460.1128290497912
1.0,577.461817237986,122.23409850891498,730.6017948659672,123,730.6017948659672,328527,1169.8248545778297,730.6017948659672,123,1169.8248545778297,1.0,34,122.23409850891498,730.6017948659672,34,577.461817237986
1.0,485.3410763908905,198.39672935535214,796.8394012567863,110,796.8394012567863,338529,1811.9145812738889,796.8394012567863,110,1811.9145812738889,1.0,35,198.39672935535214,796.8394012567863,35,485.3410763908905
1.0,455.4345334073755,241.24662477985007,810.5261296853564,109,810.5261296853564,347847,1839.7610933789608,810.5261296853564,109,1839.7610933789608,1.0,36,241.24662477985007,810.5261296853564,36,455.4345334073755
0.99,516.5291212827461,307.7201608308551,909.1052707973458,100,909.1052707973458,356278,2858.1163508306645,909.1052707973456,100,2858.1163508306645,0.99,37,307.7201608308551,909.1052707973456,37,516.5291212827461
1.0,326.1625872722446,267.0570537083295,758.7598047723342,104,758.7598047723342,364806,1798.795546426325,758.7598047723343,104,1798.795546426325,1.0,38,267.0570537083295,758.7598047723343,38,326.1625872722446
1.0,306.5368016540705,268.18333667431233,641.0493066818625,121,641.0493066818625,373224,1614.091761365071,641.0493066818625,121,1614.091761365071,1.0,39,268.18333667431233,641.0493066818625,39,306.5368016540705
