TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn
350000,6252.092201285263,7215.2147812944395,6252.092201285265,4916.288563098619,25,4916.288563098619,25,679.2434857517618,29,6252.092201285265,29,6252.092201285263,0.0,7215.2147812944395,0.0,679.2434857517618
360000,6341.718662054192,7845.732058768371,6341.71866205419,5482.235318172398,25,5482.235318172398,25,569.3455850845245,30,6341.71866205419,30,6341.718662054192,0.0,7845.732058768371,0.0,569.3455850845245
370000,6318.92804487565,7372.258918846564,6318.928044875651,1307.6131113043955,25,1307.6131113043955,25,1161.3697901591802,31,6318.928044875651,31,6318.92804487565,0.0,7372.258918846564,0.0,1161.3697901591802
380000,6365.921733463858,7352.73962670153,6365.921733463858,-240.40400893465198,25,-240.40400893465198,25,1407.7151675629457,32,6365.921733463858,32,6365.921733463858,0.0,7352.73962670153,0.0,1407.7151675629457
390000,6851.576135001328,8017.498830824075,6851.576135001328,5673.273333767494,25,5673.273333767494,25,663.5052013590231,33,6851.576135001328,33,6851.576135001328,0.0,8017.498830824075,0.0,663.5052013590231
400000,6885.799039087461,8136.169838316741,6885.799039087459,5783.491837411086,25,5783.491837411086,25,619.4874394875603,34,6885.799039087459,34,6885.799039087461,0.0,8136.169838316741,0.0,619.4874394875603
410000,6814.482862045039,7914.0711922968085,6814.482862045041,5468.066770557038,25,5468.066770557038,25,740.2292324732896,35,6814.482862045041,35,6814.482862045039,0.0,7914.0711922968085,0.0,740.2292324732896
420000,7230.638135217171,8514.814696144065,7230.638135217172,4896.067938966437,25,4896.067938966437,25,960.804356427592,36,7230.638135217172,36,7230.638135217171,0.0,8514.814696144065,0.0,960.804356427592
430000,7393.4617527294495,8764.141899566539,7393.46175272945,5739.227682269525,25,5739.227682269525,25,869.4979871143271,37,7393.46175272945,37,7393.4617527294495,0.0,8764.141899566539,0.0,869.4979871143271
440000,7230.5491416623745,8428.01604572736,7230.549141662375,5991.657662771403,25,5991.657662771403,25,704.9083507158039,38,7230.549141662375,38,7230.5491416623745,0.0,8428.01604572736,0.0,704.9083507158039
450000,7559.369269580394,8616.94902499779,7559.369269580395,6249.066374449812,25,6249.066374449812,25,564.3399614113209,39,7559.369269580395,39,7559.369269580394,0.0,8616.94902499779,0.0,564.3399614113209
460000,7308.631512267558,8805.597406813587,7308.63151226756,2402.350977551189,25,2402.350977551189,25,1243.2902479630256,40,7308.63151226756,40,7308.631512267558,0.0,8805.597406813587,0.0,1243.2902479630256
470000,7416.800430697167,8962.478435748997,7416.800430697168,2446.005589614633,25,2446.005589614633,25,1256.29468513293,41,7416.800430697168,41,7416.800430697167,0.0,8962.478435748997,0.0,1256.29468513293
480000,7812.064047252161,9276.037653815025,7812.064047252159,6702.282892346217,25,6702.282892346217,25,742.3066620288469,42,7812.064047252159,42,7812.064047252161,0.0,9276.037653815025,0.0,742.3066620288469
