MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,TotalEnvSteps
125,233.76411252946755,233.76411252946755,133.75810355473914,125,0,-3.074924744949345,-3.074924744949345,1.0,1.0,571.3630398547527,233.76411252946755,233.76411252946755,133.75810355473914,0,571.3630398547527,57340
170,37.68773402652805,37.68773402652804,88.46159928882278,170,1,-38.77289774621126,-38.77289774621126,1.0,1.0,392.54831651239175,37.68773402652804,37.68773402652805,88.46159928882278,1,392.54831651239175,65489
274,73.67670874930185,73.67670874930185,179.32362243197971,274,2,-17.80880425259141,-17.80880425259141,0.9927007299270073,0.9927007299270073,1010.9473900815442,73.67670874930185,73.67670874930185,179.32362243197971,2,1010.9473900815442,73731
772,14.485512246550021,14.48551224655002,17.438214942736987,772,3,-2.1287623295239277,-2.1287623295239277,1.0,1.0,263.7105472709742,14.48551224655002,14.485512246550021,17.438214942736987,3,263.7105472709742,83253
1608,-5.540024901220402,-5.540024901220402,2.909425280873734,1608,4,-11.087601506095565,-11.087601506095565,1.0,1.0,36.70582037234219,-5.540024901220402,-5.540024901220402,2.909425280873734,4,36.70582037234219,90507
192,84.68309275900685,84.68309275900685,121.68443979599654,192,5,-62.89551523483014,-62.89551523483014,1.0,1.0,630.5484516218601,84.68309275900685,84.68309275900685,121.68443979599654,5,630.5484516218601,97570
130,66.83711107840114,66.83711107840114,111.9263958741094,130,6,-154.6718589890484,-154.6718589890484,1.0,1.0,477.65549564833447,66.83711107840114,66.83711107840114,111.9263958741094,6,477.65549564833447,105092
148,42.46775464886613,42.46775464886613,96.53934149183992,148,7,-129.19432153511886,-129.19432153511886,1.0,1.0,418.32969700970887,42.46775464886613,42.46775464886613,96.53934149183992,7,418.32969700970887,113532
157,79.74142554920108,79.74142554920108,95.34118988853159,157,8,-110.24166583016306,-110.24166583016306,1.0,1.0,385.9434261898506,79.74142554920108,79.74142554920108,95.34118988853159,8,385.9434261898506,121751
156,119.52002614961846,119.52002614961846,122.54256795949816,156,9,-99.45706559740644,-99.45706559740644,1.0,1.0,474.80316727028736,119.52002614961846,119.52002614961846,122.54256795949816,9,474.80316727028736,129823
130,134.7211894866102,134.7211894866102,121.22905406089791,130,10,-90.28180380339546,-90.28180380339546,1.0,1.0,469.76772234001095,134.7211894866102,134.7211894866102,121.22905406089791,10,469.76772234001095,138348
118,119.10313238758583,119.10313238758576,162.70106954792746,118,11,-143.98899253393827,-143.98899253393827,0.9830508474576272,0.9830508474576272,814.0443054090184,119.10313238758576,119.10313238758583,162.70106954792746,11,814.0443054090184,147348
165,99.06477724876203,99.06477724876204,126.74330071335376,165,12,-174.15263847483175,-174.15263847483175,1.0,1.0,492.8718435124523,99.06477724876204,99.06477724876203,126.74330071335376,12,492.8718435124523,155237
138,200.71539594940725,200.71539594940722,189.98584479268794,138,13,-120.42201365204123,-120.42201365204123,0.9782608695652174,0.9782608695652174,1007.2488577874628,200.71539594940722,200.71539594940725,189.98584479268794,13,1007.2488577874628,164172
183,101.28699965038476,101.28699965038477,140.6225577145157,183,14,-156.44427845653377,-156.44427845653377,1.0,1.0,671.9001537157136,101.28699965038477,101.28699965038476,140.6225577145157,14,671.9001537157136,174683
145,102.21319401099271,102.21319401099272,111.6932502448219,145,15,-114.74145157328483,-114.74145157328483,1.0,1.0,439.19339600311,102.21319401099272,102.21319401099271,111.6932502448219,15,439.19339600311,183495
283,26.548516241504853,26.548516241504853,85.17654458008198,283,16,-187.7112614637737,-187.7112614637737,1.0,1.0,632.9086090909957,26.548516241504853,26.548516241504853,85.17654458008198,16,632.9086090909957,191459
181,47.90764790849445,47.907647908494454,120.18076697493484,181,17,-99.49354247468776,-99.49354247468776,1.0,1.0,554.7071309551791,47.907647908494454,47.90764790849445,120.18076697493484,17,554.7071309551791,199660
177,67.64963350152165,67.64963350152166,119.31340658900297,177,18,-114.18182493960107,-114.18182493960107,1.0,1.0,612.207003131856,67.64963350152166,67.64963350152165,119.31340658900297,18,612.207003131856,207262
188,77.09993164905929,77.09993164905929,104.19701770944985,188,19,-89.5598866678828,-89.5598866678828,1.0,1.0,465.0595527360116,77.09993164905929,77.09993164905929,104.19701770944985,19,465.0595527360116,215233
182,171.8958741724686,171.8958741724686,107.03160979834726,182,20,-49.4536438852507,-49.4536438852507,1.0,1.0,580.8035701507654,171.8958741724686,171.8958741724686,107.03160979834726,20,580.8035701507654,223129
181,207.29402715062434,207.29402715062434,109.01709718176863,181,21,-21.346858189073362,-21.346858189073362,1.0,1.0,593.7920247735408,207.29402715062434,207.29402715062434,109.01709718176863,21,593.7920247735408,230777
210,193.0559268530917,193.05592685309173,80.91298796331584,210,22,9.84888322886758,9.84888322886758,1.0,1.0,429.407857025588,193.05592685309173,193.0559268530917,80.91298796331584,22,429.407857025588,238609
143,246.61322388298493,246.61322388298493,159.69067697327685,143,23,-27.855292568808114,-27.855292568808114,0.993006993006993,0.993006993006993,987.2342630889088,246.61322388298493,246.61322388298493,159.69067697327685,23,987.2342630889088,246566
