TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn
160000,789.3049832735527,25,134.02078178691795,25,0.0,148.02336630251457,10,475.22430040357455,789.3049832735527,0.0,148.02336630251457,475.22430040357455,134.02078178691795,10,475.22430040357455,475.22430040357455
170000,783.6207156540196,25,-46.759342687366896,25,0.0,173.33168835410106,11,473.3238102973696,783.6207156540196,0.0,173.33168835410106,473.32381029736973,-46.759342687366896,11,473.3238102973696,473.32381029736973
180000,760.9837969861578,25,159.82074574931977,25,0.0,123.95617115158507,12,536.5648990706324,760.9837969861578,0.0,123.95617115158507,536.5648990706325,159.82074574931977,12,536.5648990706324,536.5648990706325
190000,1298.1852831566498,25,296.34013527018806,25,0.0,212.0691750230253,13,752.473540811658,1298.1852831566498,0.0,212.0691750230253,752.4735408116583,296.34013527018806,13,752.473540811658,752.4735408116583
200000,1249.1206830382698,25,-246.8832843768896,25,0.0,325.7989354778568,14,853.8340654889626,1249.1206830382698,0.0,325.7989354778568,853.8340654889622,-246.8832843768896,14,853.8340654889626,853.8340654889622
210000,1357.5152387130827,25,589.8549359428504,25,0.0,173.29194185795737,15,970.6737002995119,1357.5152387130827,0.0,173.29194185795737,970.6737002995117,589.8549359428504,15,970.6737002995119,970.6737002995117
220000,1511.481283918074,25,646.6491523612173,25,0.0,208.98162594024365,16,1166.1526445058228,1511.481283918074,0.0,208.98162594024365,1166.152644505823,646.6491523612173,16,1166.1526445058228,1166.152644505823
230000,1890.8898789292425,25,494.1540874132658,25,0.0,361.38973365220727,17,1207.7195505315408,1890.8898789292425,0.0,361.38973365220727,1207.7195505315412,494.1540874132658,17,1207.7195505315408,1207.7195505315412
240000,1884.983675004522,25,529.058226173707,25,0.0,416.1397752216717,18,1354.308544446305,1884.983675004522,0.0,416.1397752216717,1354.308544446305,529.058226173707,18,1354.308544446305,1354.308544446305
250000,2513.3577148916506,25,467.0278878781458,25,0.0,545.6073325175495,19,1476.9520215763055,2513.3577148916506,0.0,545.6073325175495,1476.9520215763064,467.0278878781458,19,1476.9520215763055,1476.9520215763064
