MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/TerminationRate
9,13,0.1111111111111111,9,956.3333333333334,607.0,123.50798444725032,956.3333333333334,123.50798444725032,1000.0,956.3333333333334,143637,607.0,1000.0,13,956.3333333333334,0.1111111111111111
20,14,0.7,20,440.85,99.0,392.58505766266757,440.85,392.58505766266757,1000.0,440.85,154577,99.0,1000.0,14,440.85,0.7
19,15,0.631578947368421,19,469.57894736842104,27.0,417.67077387131167,469.57894736842104,417.67077387131167,1000.0,469.57894736842104,165203,27.0,1000.0,15,469.57894736842104,0.631578947368421
10,16,0.3,10,918.6,608.0,133.65043958027223,918.6,133.65043958027223,1000.0,918.6,175760,608.0,1000.0,16,918.6,0.3
12,17,0.5833333333333334,12,803.0,314.0,268.6354406998451,803.0,268.6354406998451,1000.0,803.0,185027,314.0,1000.0,17,803.0,0.5833333333333334
8,18,0.0,8,1000.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,195134,1000.0,1000.0,18,1000.0,0.0
10,19,0.2,10,903.3,146.0,254.67157281487073,903.3,254.67157281487073,1000.0,903.3,205018,146.0,1000.0,19,903.3,0.2
10,20,0.2,10,863.6,180.0,279.6938326098736,863.6,279.6938326098736,1000.0,863.6,214658,180.0,1000.0,20,863.6,0.2
9,21,0.1111111111111111,9,922.4444444444445,302.0,219.3602370080934,922.4444444444445,219.3602370080934,1000.0,922.4444444444445,224076,302.0,1000.0,21,922.4444444444445,0.1111111111111111
9,22,0.1111111111111111,9,925.1111111111111,326.0,211.8177646754369,925.1111111111111,211.8177646754369,1000.0,925.1111111111111,236283,326.0,1000.0,22,925.1111111111111,0.1111111111111111
10,23,0.2,10,906.7,278.0,218.8049588103524,906.7,218.8049588103524,1000.0,906.7,246995,278.0,1000.0,23,906.7,0.2
9,24,0.1111111111111111,9,933.4444444444445,401.0,188.24753863588532,933.4444444444445,188.24753863588532,1000.0,933.4444444444445,258076,401.0,1000.0,24,933.4444444444445,0.1111111111111111
15,25,0.6,15,618.4666666666667,140.0,367.5337384361997,618.4666666666667,367.5337384361997,1000.0,618.4666666666667,269212,140.0,1000.0,25,618.4666666666667,0.6
13,26,0.5384615384615384,13,702.3076923076923,59.0,328.5898506357559,702.3076923076923,328.5898506357559,1000.0,702.3076923076923,278974,59.0,1000.0,26,702.3076923076923,0.5384615384615384
9,27,0.1111111111111111,9,905.2222222222222,147.0,268.07203748983335,905.2222222222222,268.07203748983335,1000.0,905.2222222222222,290393,147.0,1000.0,27,905.2222222222222,0.1111111111111111
10,28,0.3,10,837.4,257.0,285.5378083546906,837.4,285.5378083546906,1000.0,837.4,301628,257.0,1000.0,28,837.4,0.3
9,29,0.2222222222222222,9,946.2222222222222,660.0,110.7086042804641,946.2222222222222,110.7086042804641,1000.0,946.2222222222222,313495,660.0,1000.0,29,946.2222222222222,0.2222222222222222
