MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn
1016.9777176865529,36.35996010536836,0,110,170.41351748205994,1016.9777176865529,0.990909090909091,0,110,36.35996010536836,230.2959993377936,230.29599933779363,57449,230.29599933779363,0.990909090909091,170.41351748205994,230.2959993377936
422.5548768557432,-21.630651470230372,1,142,112.10995341368168,422.5548768557432,1.0,1,142,-21.630651470230372,118.86640782451558,118.86640782451555,66543,118.86640782451555,1.0,112.10995341368168,118.86640782451558
615.8174151085269,15.922612567462686,2,154,134.18664560345272,615.8174151085269,1.0,2,154,15.922612567462686,195.78585383849088,195.7858538384909,74510,195.7858538384909,1.0,134.18664560345272,195.78585383849088
498.9281101931204,12.767409656916575,3,216,82.9309540272669,498.9281101931204,1.0,3,216,12.767409656916575,156.60400393031833,156.60400393031833,82645,156.60400393031833,1.0,82.9309540272669,156.60400393031833
512.6448563443487,19.73104191285454,4,197,83.21697144463909,512.6448563443487,1.0,4,197,19.73104191285454,174.94296648532367,174.94296648532364,90252,174.94296648532364,1.0,83.21697144463909,174.94296648532367
587.0673610254488,-10.866786438760103,5,196,77.76957676932926,587.0673610254488,1.0,5,196,-10.866786438760103,156.8126792262244,156.8126792262244,97867,156.8126792262244,1.0,77.76957676932926,156.8126792262244
413.37139536771963,-25.536482462102892,6,207,74.98281199998364,413.37139536771963,1.0,6,207,-25.536482462102892,159.89521843949433,159.89521843949433,105727,159.89521843949433,1.0,74.98281199998364,159.89521843949433
497.09103765928796,-9.240937723867662,7,161,98.25345348981782,497.09103765928796,1.0,7,161,-9.240937723867662,182.22037595678572,182.22037595678572,113581,182.22037595678572,1.0,98.25345348981782,182.22037595678572
351.1180064151174,-97.87338476530158,8,152,103.45414425411599,351.1180064151174,1.0,8,152,-97.87338476530158,164.133786717274,164.133786717274,121702,164.133786717274,1.0,103.45414425411599,164.133786717274
517.9416215459939,-108.31166272049035,9,167,106.81764955623261,517.9416215459939,1.0,9,167,-108.31166272049035,179.58548215790194,179.58548215790194,129759,179.58548215790194,1.0,106.81764955623261,179.58548215790194
643.8463054288676,-43.785524959215046,10,156,110.44034522369586,643.8463054288676,1.0,10,156,-43.785524959215046,173.97406680172514,173.97406680172514,137846,173.97406680172514,1.0,110.44034522369586,173.97406680172514
482.2974077452363,-21.005462477431067,11,178,105.81043282788153,482.2974077452363,1.0,11,178,-21.005462477431067,171.8309673115217,171.8309673115217,146087,171.8309673115217,1.0,105.81043282788153,171.8309673115217
607.1947991840592,-18.631818047042174,12,168,95.23504588173016,607.1947991840592,1.0,12,168,-18.631818047042174,212.7616144872155,212.76161448721555,153533,212.76161448721555,1.0,95.23504588173016,212.7616144872155
576.8288609495037,-9.529404301718568,13,149,92.85683236180003,576.8288609495037,1.0,13,149,-9.529404301718568,217.63756469981718,217.63756469981718,161206,217.63756469981718,1.0,92.85683236180003,217.63756469981718
460.76923552914303,27.749647147065904,14,153,90.09269511209665,460.76923552914303,1.0,14,153,27.749647147065904,243.16096451450588,243.16096451450588,169371,243.16096451450588,1.0,90.09269511209665,243.16096451450588
618.3586016764253,-15.167444620891938,15,179,87.70990347962892,618.3586016764253,1.0,15,179,-15.167444620891938,234.57086809931556,234.5708680993156,177519,234.5708680993156,1.0,87.70990347962892,234.57086809931556
508.9507099446262,114.73379384296304,16,171,77.9185693588648,508.9507099446262,1.0,16,171,114.73379384296304,254.44188797350745,254.44188797350745,185135,254.44188797350745,1.0,77.9185693588648,254.44188797350745
