MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn
41.14040732358447,0,1062,2.3803689595390205,33.45404766483106,1.0,57272,1062,2.3803689595390205,33.45404766483106,41.14040732358447,41.14040732358447,41.14040732358447,1.0,0,55.46130494986654,55.46130494986654
15.898813161170128,1,1998,9.088271130368643,10.321791141502409,1.0,64452,1998,9.088271130368643,10.321791141502409,15.898813161170128,15.898813161170128,15.898813161170128,1.0,1,229.4281509135135,229.4281509135135
28.951483493569885,2,1086,2.004104477723216,22.452654446366143,1.0,71541,1086,2.004104477723216,22.452654446366143,28.951483493569885,28.951483493569885,28.951483493569885,1.0,2,37.57351638637327,37.57351638637327
195.82150067288225,3,263,17.84320443583971,167.608694800163,1.0,78685,263,17.84320443583971,167.608694800163,195.82150067288225,195.82150067288228,195.82150067288228,1.0,3,278.47851635721753,278.47851635721753
210.71414509274192,4,256,44.75101974388645,80.73477530776293,1.0,86214,256,44.75101974388645,80.73477530776293,210.71414509274192,210.7141450927419,210.7141450927419,1.0,4,340.87423630301635,340.87423630301635
0.9885949762593998,5,2157,0.5350849833913881,-0.34095347013613253,1.0,93696,2157,0.5350849833913881,-0.34095347013613253,0.9885949762593998,0.9885949762594003,0.9885949762594003,1.0,5,2.366239625362989,2.366239625362989
5.364758076408457,6,867,0.29047688139946654,4.497427257828154,1.0,100769,867,0.29047688139946654,4.497427257828154,5.364758076408457,5.364758076408457,5.364758076408457,1.0,6,6.155594116270326,6.155594116270326
140.2537894869224,7,244,165.4736258804884,28.55651551795769,0.9959016393442623,107870,244,165.4736258804884,28.55651551795769,140.2537894869224,140.25378948692241,140.25378948692241,0.9959016393442623,7,995.3950669391397,995.3950669391397
319.6896400814287,8,175,64.90849431075688,10.622640267730457,0.9942857142857143,115604,175,64.90849431075688,10.622640267730457,319.6896400814287,319.6896400814287,319.6896400814287,0.9942857142857143,8,1030.5435671450798,1030.5435671450798
318.7646196326853,9,174,43.48522681010542,221.84751207710468,1.0,123418,174,43.48522681010542,221.84751207710468,318.7646196326853,318.7646196326853,318.7646196326853,1.0,9,475.170393539632,475.170393539632
340.04794210400945,10,147,52.96084125188321,234.45871759179246,1.0,131540,147,52.96084125188321,234.45871759179246,340.04794210400945,340.0479421040095,340.0479421040095,1.0,10,539.292197497141,539.292197497141
369.60559962452265,11,169,85.43687875436905,246.86844805807928,1.0,139706,169,85.43687875436905,246.86844805807928,369.60559962452265,369.60559962452265,369.60559962452265,1.0,11,651.2862671173984,651.2862671173984
435.42337630659733,12,151,44.12975883093568,309.39603282903636,1.0,147435,151,44.12975883093568,309.39603282903636,435.42337630659733,435.42337630659733,435.42337630659733,1.0,12,576.8072397893554,576.8072397893554
457.19969411457146,13,139,91.99203376489477,236.3213280525402,1.0,155322,139,91.99203376489477,236.3213280525402,457.19969411457146,457.1996941145715,457.1996941145715,1.0,13,629.6135381352732,629.6135381352732
379.70183947616016,14,168,118.06223176175803,234.9709963421303,1.0,163272,168,118.06223176175803,234.9709963421303,379.70183947616016,379.70183947616016,379.70183947616016,1.0,14,650.1965267497558,650.1965267497558
390.6978352378043,15,161,106.86138476492616,158.53301018890787,1.0,170796,161,106.86138476492616,158.53301018890787,390.6978352378043,390.6978352378043,390.6978352378043,1.0,15,650.9122761446115,650.9122761446115
305.23540786230984,16,195,187.98665329717085,36.74074758251125,1.0,178853,195,187.98665329717085,36.74074758251125,305.23540786230984,305.23540786230984,305.23540786230984,1.0,16,1081.198923372622,1081.198923372622
29.37965768723488,17,436,37.43730276397284,7.368196127576206,1.0,186710,436,37.43730276397284,7.368196127576206,29.37965768723488,29.37965768723488,29.37965768723488,1.0,17,500.8728281748288,500.8728281748288
212.84858853961018,18,168,181.89876068361582,11.235207673980195,1.0,194522,168,181.89876068361582,11.235207673980195,212.84858853961018,212.84858853961018,212.84858853961018,1.0,18,567.047804318614,567.047804318614
386.588538883556,19,162,103.15763176989151,158.08458161943432,1.0,202429,162,103.15763176989151,158.08458161943432,386.588538883556,386.588538883556,386.588538883556,1.0,19,569.2977518430329,569.2977518430329
400.85355301995054,20,161,140.18465800191794,113.76614756217812,1.0,210072,161,140.18465800191794,113.76614756217812,400.85355301995054,400.8535530199505,400.8535530199505,1.0,20,800.7154119778029,800.7154119778029
478.96686542352285,21,110,214.37410924830527,97.45522640168916,1.0,218190,110,214.37410924830527,97.45522640168916,478.96686542352285,478.96686542352285,478.96686542352285,1.0,21,1233.3557226986193,1233.3557226986193
228.82635340833403,22,153,149.38321678465812,19.00672899253037,1.0,226599,153,149.38321678465812,19.00672899253037,228.82635340833403,228.82635340833403,228.82635340833403,1.0,22,798.7221915205201,798.7221915205201
370.3127034723601,23,136,120.91381531091365,142.09116611342515,1.0,235288,136,120.91381531091365,142.09116611342515,370.3127034723601,370.3127034723601,370.3127034723601,1.0,23,813.159577440052,813.159577440052
450.6959312700855,24,101,206.81638864736735,130.34496544214375,1.0,243458,101,206.81638864736735,130.34496544214375,450.6959312700855,450.6959312700855,450.6959312700855,1.0,24,992.6775607789342,992.6775607789342
880.1857875730502,25,64,350.31520369917934,349.93758082069417,0.890625,251685,64,350.31520369917934,349.93758082069417,880.1857875730502,880.18578757305,880.18578757305,0.890625,25,1693.5819764133792,1693.5819764133792
355.17882554655654,26,134,185.80271287475293,144.61060075414258,1.0,260916,134,185.80271287475293,144.61060075414258,355.17882554655654,355.17882554655654,355.17882554655654,1.0,26,1139.0540735561112,1139.0540735561112
235.62722063581597,27,193,53.746403075370296,135.9043036095238,1.0,270189,193,53.746403075370296,135.9043036095238,235.62722063581597,235.62722063581597,235.62722063581597,1.0,27,489.0738643417643,489.0738643417643
336.71461660243654,28,149,152.6617376092432,154.80226862478253,1.0,278580,149,152.6617376092432,154.80226862478253,336.71461660243654,336.71461660243654,336.71461660243654,1.0,28,913.7243310412775,913.7243310412775
404.06521169183327,29,121,309.792399657227,121.43029763042395,0.9917355371900827,286725,121,309.792399657227,121.43029763042395,404.06521169183327,404.06521169183327,404.06521169183327,0.9917355371900827,29,2207.9414942621383,2207.9414942621383
351.9533530626984,30,138,330.7934688930314,144.4281708541208,1.0,295091,138,330.7934688930314,144.4281708541208,351.9533530626984,351.9533530626984,351.9533530626984,1.0,30,2317.489148067945,2317.489148067945
385.0293456016282,31,132,244.30834603349112,137.05400461537462,1.0,303440,132,244.30834603349112,137.05400461537462,385.0293456016282,385.0293456016282,385.0293456016282,1.0,31,1881.1889154996918,1881.1889154996918
433.0602930308551,32,108,174.52828258362314,138.3146074395545,1.0,311689,108,174.52828258362314,138.3146074395545,433.0602930308551,433.06029303085495,433.06029303085495,1.0,32,984.3608771335728,984.3608771335728
515.8356682626433,33,111,177.1811751703653,188.94038484411155,1.0,320079,111,177.1811751703653,188.94038484411155,515.8356682626433,515.8356682626431,515.8356682626431,1.0,33,1332.182147843103,1332.182147843103
449.0336941175723,34,143,125.89331448376966,217.38791528877402,1.0,328007,143,125.89331448376966,217.38791528877402,449.0336941175723,449.03369411757217,449.03369411757217,1.0,34,855.6652236971755,855.6652236971755
452.4397986711114,35,146,112.64649289375139,299.3970537555864,1.0,335888,146,112.64649289375139,299.3970537555864,452.4397986711114,452.4397986711114,452.4397986711114,1.0,35,759.1297616411746,759.1297616411746
294.43074577119387,36,219,166.73860908751996,109.80709536727291,1.0,343938,219,166.73860908751996,109.80709536727291,294.43074577119387,294.43074577119387,294.43074577119387,1.0,36,757.0708833534974,757.0708833534974
